epoch,train_loss,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.7796352423386741,0.6895435711555264,0.05498240143060684,0.058305468410253525
2,0.7215262925212722,0.6801176141328091,0.05801282823085785,0.06091189756989479
3,0.6927977450830322,0.6481248250805483,0.06529687345027924,0.07141546905040741
4,0.671719742110545,0.6493205403219201,0.06538430601358414,0.0697394385933876
5,0.6518086763264822,0.6237335917021625,0.073518306016922,0.08278058469295502
6,0.6336465142483308,0.6207720987262451,0.07505937665700912,0.08552928268909454
7,0.6158607584584903,0.592596764587429,0.08266609162092209,0.09756723791360855
8,0.5997084201930903,0.5932473668223023,0.0846656933426857,0.10012592375278473
9,0.5844115642664743,0.540537672530308,0.0987597405910492,0.12562739849090576
10,0.5722543369656293,0.5511071505365335,0.09781278669834137,0.12380489706993103
11,0.5562999509474943,0.5490173665151267,0.10931650549173355,0.13823363184928894
12,0.5410571045979988,0.5197110287994211,0.11796141415834427,0.15271277725696564
13,0.5268372023517747,0.5111874940271407,0.13200853765010834,0.17054526507854462
14,0.5136645763043761,0.506162672530308,0.12920786440372467,0.17083945870399475
15,0.5015981035706617,0.489572799769277,0.1313217729330063,0.1752898395061493
16,0.4901835834529488,0.48591144553434906,0.1412534862756729,0.18564178049564362
17,0.47921382315378475,0.46553717336992134,0.15572763979434967,0.20771948993206024
18,0.46707450817500107,0.4400603642761577,0.1582314521074295,0.21326352655887604
19,0.45623354872639454,0.4411475611962101,0.1670752316713333,0.2218777984380722
20,0.4447533670082506,0.43163884807435016,0.17723622918128967,0.23650746047496796
21,0.4340633619476701,0.4164751021358945,0.17999450862407684,0.24574285745620728
22,0.42512675749915135,0.41497177610651487,0.19140128791332245,0.253225713968277
23,0.41468113072061324,0.40449994155130514,0.19529248774051666,0.2571237087249756
24,0.40523871536901995,0.3976681701206859,0.19680538773536682,0.26617395877838135
25,0.3970203634966641,0.39328353461869264,0.20099620521068573,0.2654310166835785
26,0.38882154672985964,0.3883172514095948,0.2005360722541809,0.2632521986961365
27,0.38050519348163575,0.37091615769372543,0.20787547528743744,0.2768191695213318
28,0.3715604179940153,0.3714498390741044,0.2118634432554245,0.2800982892513275
29,0.36238093877366,0.35590220893403235,0.2217133790254593,0.2955177426338196
30,0.3548215623894602,0.35645443604262234,0.21621690690517426,0.29775357246398926
31,0.34772613080166836,0.3414457156680046,0.22531290352344513,0.304872065782547
32,0.3400478311393403,0.3406572001112658,0.23224139213562012,0.30781328678131104
33,0.33294021323665624,0.3297864532137396,0.23374567925930023,0.3182227611541748
34,0.3252389607113115,0.32617057590309634,0.23832572996616364,0.32296812534332275
35,0.3187129365827025,0.31965066878959153,0.2426835149526596,0.32827028632164
36,0.3123681458160809,0.3154224902045107,0.24070218205451965,0.3230484426021576
37,0.3065497106701513,0.3126626452258082,0.2475045770406723,0.3350253999233246
38,0.30021063895447714,0.2973543944885867,0.2572706937789917,0.3404325246810913
39,0.2932003801194593,0.29647205384447356,0.24909240007400513,0.3363519012928009
40,0.28797271389523005,0.2867510567694681,0.25593358278274536,0.3464145362377167
41,0.28196782930255165,0.2817389211992136,0.2558645009994507,0.350674033164978
42,0.27610791631207743,0.2745241977596658,0.26336470246315,0.3564794361591339
43,0.27129814433826255,0.26763846367818916,0.2664560079574585,0.3616887331008911
44,0.2658806673211296,0.2685990978422619,0.26747405529022217,0.36209845542907715
45,0.2606309422331612,0.2643633059947029,0.27407434582710266,0.3715604841709137
46,0.2554724012126169,0.25482887971343926,0.27025750279426575,0.37518736720085144
47,0.25091190931493434,0.2553684870235365,0.26875627040863037,0.3692479431629181
48,0.24561918143079803,0.24939624204756444,0.2772913873195648,0.37525931000709534
49,0.2409397850278265,0.2458927803489515,0.27598822116851807,0.3753560185432434
50,0.23661066384716867,0.24342543695732308,0.2811335027217865,0.3812728226184845
51,0.23223000692532814,0.23784966825032766,0.26997655630111694,0.37329229712486267
52,0.2277423162713234,0.23416731088220838,0.2824629843235016,0.38750001788139343
53,0.22350389784130387,0.2280814023932394,0.2804708778858185,0.38684290647506714
54,0.21989243488622015,0.22327649517734272,0.2843666970729828,0.39079755544662476
55,0.2153985293472891,0.22649641564445447,0.28041326999664307,0.3871224820613861
56,0.21177582344208662,0.21750169159908803,0.2915453612804413,0.3992936611175537
57,0.20782637101131524,0.21375226008730613,0.28785282373428345,0.39770951867103577
58,0.2040837538269218,0.21000900728518185,0.2924864590167999,0.4017365574836731
59,0.20083735871396916,0.20771362571333005,0.2882373631000519,0.39708828926086426
60,0.19669309867050402,0.20369108307564712,0.2947390079498291,0.4008537828922272
61,0.19364927770537524,0.202804847273987,0.288286417722702,0.40132561326026917
62,0.19022689442957627,0.20051417146201944,0.2904146909713745,0.3998298943042755
63,0.18705160743385932,0.19395630149458007,0.28991463780403137,0.4053170382976532
64,0.18365844550154767,0.19241453478251966,0.2967691123485565,0.4061294198036194
65,0.18069647801634015,0.19192936688544396,0.2913782000541687,0.4057588577270508
66,0.177514505128454,0.18947026603968709,0.2948370575904846,0.406574010848999
67,0.17427976957098568,0.1846004925049148,0.299582302570343,0.41011983156204224
68,0.17149652348379735,0.18086203398898262,0.2955852448940277,0.4129032492637634
69,0.16873288233955452,0.17772583807749018,0.29297110438346863,0.4127490222454071
70,0.16617400146219283,0.17889755735651486,0.2973629832267761,0.4155902862548828
71,0.1630666912184372,0.1766716497378768,0.29719123244285583,0.4140838384628296
72,0.1603634112352769,0.17483305751522227,0.28996914625167847,0.4121004343032837
73,0.15759372541275765,0.16986745691861893,0.30303850769996643,0.421040415763855
74,0.15513541311224002,0.1707447078333197,0.29109296202659607,0.4154165983200073
75,0.15283530052380934,0.16455623788362822,0.2945801913738251,0.4222380220890045
76,0.1501619624354334,0.16336775300178843,0.3002047538757324,0.4206685721874237
77,0.14804694184180311,0.16349986518403234,0.303399920463562,0.42163175344467163
78,0.14547767718129592,0.15995967253372106,0.3007924556732178,0.425307959318161
79,0.14307033285156248,0.1575501570862003,0.3026440441608429,0.4270845651626587
80,0.140820224774813,0.15521508159779107,0.3041348457336426,0.42705222964286804
81,0.13868687348750264,0.15277639406536697,0.2970418930053711,0.424594521522522
82,0.1364588941566827,0.15263164928564601,0.2993241250514984,0.42496106028556824
83,0.1342624518840334,0.15084638509754533,0.29662469029426575,0.4245339632034302
84,0.1321917650415223,0.14776258929424693,0.29465529322624207,0.4235464632511139
85,0.1302135511960803,0.1456713120580084,0.3049570620059967,0.4290623366832733
86,0.12829885639159086,0.1475876517106269,0.2999240756034851,0.42538219690322876
87,0.1261805444027903,0.14481024332575634,0.29677554965019226,0.42615368962287903
88,0.12427770425596538,0.14062134055708006,0.307608425617218,0.4336690604686737
89,0.12257236572346873,0.13936344145061982,0.30251988768577576,0.43185484409332275
90,0.12062792407197964,0.13727813920687254,0.3043562173843384,0.4351116120815277
91,0.11879358544628943,0.13626353812561434,0.30581992864608765,0.4326489567756653
92,0.11706482145806507,0.13458232114699378,0.3012133240699768,0.4321758449077606
93,0.11525020604548804,0.13483029826752949,0.309762567281723,0.43631333112716675
94,0.11358144630241834,0.131230561542636,0.30865687131881714,0.435923308134079
95,0.11173310751263,0.12877481509734054,0.3017256557941437,0.43799740076065063
96,0.11024131722202725,0.1292295811404407,0.3056176006793976,0.43617427349090576
97,0.10855945176209968,0.12596383497672292,0.30685412883758545,0.4375240206718445
98,0.10705504554272056,0.1239672243610747,0.3058275282382965,0.438560426235199
99,0.1054791321640801,0.12447147127737276,0.3065216541290283,0.43904322385787964
100,0.10390279618057284,0.12311457522730997,0.3027298152446747,0.43700075149536133
