epoch,train_loss,train_bce,train_hierarchy_penalty,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.337508716791827,0.33704249545228127,0.004662204662122965,0.09987344867383424,0.3334786593914032,0.4029041826725006
2,0.15650814038224192,0.15634401425251115,0.00164126557244823,0.07251564400572263,0.38888561725616455,0.46229737997055054
3,0.12321172058405647,0.1230611841160656,0.00150535575420491,0.06564477360485241,0.40503156185150146,0.4791591763496399
4,0.10201420611430477,0.10186917439759709,0.0014503178745627807,0.061164891991371144,0.409687340259552,0.4861215651035309
5,0.08626196705536558,0.0861245864695698,0.001373801567405683,0.05691465148606893,0.4306773245334625,0.506214439868927
6,0.0735422979257861,0.07342534503006837,0.001169529165326408,0.052835587488571055,0.4287826418876648,0.51729816198349
7,0.06388409466075463,0.06376390685941057,0.0012018754457710048,0.05184508607679026,0.43325403332710266,0.5173519253730774
8,0.05667605854952154,0.05657026739421157,0.0010579110121054878,0.05039708311904062,0.4357759654521942,0.5301754474639893
9,0.05009101350813651,0.049997285711384884,0.0009372814200321502,0.04863838698049324,0.4367241859436035,0.5327158570289612
10,0.04476528561541012,0.044673767980910224,0.0009151761293051681,0.04798743747244808,0.4343631863594055,0.5376377105712891
11,0.04077174385424024,0.040687945521035655,0.0008379851872152216,0.04791493159725624,0.4390469491481781,0.5452841520309448
12,0.03718275454052115,0.03710345495576869,0.0007929940525181238,0.04724226263000424,0.4421783983707428,0.5474254488945007
13,0.03368247555952679,0.033609276744534296,0.0007319879203606408,0.047246233422928094,0.4334881603717804,0.5452749729156494
14,0.03068697979687361,0.030611982790289885,0.000749969556965865,0.04720962795468832,0.42631995677948,0.5492297410964966
15,0.027454252600466703,0.027390477956931267,0.0006377473431109398,0.04746738318241004,0.4184480309486389,0.5452045798301697
16,0.02532847112383656,0.025266344673567975,0.0006212655998214547,0.047226984069888,0.4175078272819519,0.5453277230262756
17,0.023587476800721617,0.023530624030318758,0.00056852867378824,0.04798423264841301,0.42331400513648987,0.5499130487442017
18,0.021488754087578776,0.021432862014411656,0.0005589205620340127,0.04825196332941484,0.41570988297462463,0.5525986552238464
19,0.020103992441235924,0.020052121603275165,0.0005187089440988433,0.04896212459233363,0.4101884067058563,0.5504620671272278
20,0.018814504475970793,0.01876216435153902,0.0005234005812265169,0.04980871920052492,0.4126146137714386,0.547623336315155
21,0.017616960768232912,0.017568261869953947,0.0004869887193542904,0.05030366138231044,0.40354737639427185,0.5422848463058472
22,0.015975766369181937,0.015928294123208373,0.00047472257960707903,0.05082663796164773,0.4098270535469055,0.5493895411491394
23,0.015036780746369181,0.01499312098059458,0.00043659707867122513,0.05163347712629392,0.3873731195926666,0.534453809261322
24,0.01377244384116899,0.013729615145261886,0.0004282864077601709,0.05237133444663499,0.4053914248943329,0.5477968454360962
