threshold,supported_macro_f1,micro_f1
0.1,0.36680730730977823,0.41994700984102956
0.11,0.37454131687549835,0.4277647975077881
0.12,0.38412997705577606,0.4376249500199921
0.13,0.389276533982358,0.4439214081047892
0.14,0.39383350108297754,0.45016211693337516
0.15,0.39765107676894335,0.4567888046148916
0.16,0.3975538132015962,0.4601287225919058
0.17,0.40181679608424153,0.466028068612163
0.18,0.407023459905514,0.47271898849527283
0.19,0.4132306732741459,0.47911832946635735
0.2,0.41266613579045375,0.4822544511260464
0.21,0.41695347306547115,0.48761220825852786
0.22,0.4196815369431818,0.49193450576106734
0.23,0.4225727022225868,0.4954556619995088
0.24,0.4242938961268338,0.49782527650055913
0.25,0.4262124374693638,0.5018877422602568
0.26,0.426368535148733,0.5036886288476216
0.27,0.42960962241456363,0.5074126595333248
0.28,0.4316475616023314,0.5103502148157792
0.29,0.43388956292059705,0.5138267052936528
0.3,0.4324085925325729,0.514506254990684
0.31,0.4345117361138377,0.519057239057239
0.32,0.43531078454737687,0.5213128149257796
0.33,0.4376974698181736,0.523187009770194
0.34,0.43819829031357604,0.5244716351501668
0.35,0.4359933446852265,0.5252213011100182
0.36,0.43856737728857176,0.5275690999291283
0.37,0.4400870093660336,0.5294791070406412
0.38,0.440817691691034,0.5311371189134517
0.39,0.44127518527865184,0.5324978140483824
0.4,0.4412061528927523,0.5340191036002939
0.41,0.44070694743452843,0.5346944814321645
0.42,0.4421189552535564,0.5367164179104478
0.43,0.44324152905469466,0.5376635092467298
0.44,0.4434697850992605,0.5390802853240249
0.45,0.44395616061606946,0.5403916768665851
0.46,0.44509276866656855,0.5428483353884094
0.47,0.44511661504729794,0.5451999377625643
0.48,0.44546370938084767,0.5463108320251178
0.49,0.44363899689636327,0.5462889697736985
0.5,0.4421783547904097,0.5474254742547426
0.51,0.4404449415340842,0.5487550200803213
0.52,0.4390039991592086,0.5496108949416343
0.53,0.4398916845810522,0.5514765867188774
0.54,0.4412478528866187,0.5525407005426739
0.55,0.44120970581510977,0.5527970870572658
0.56,0.43908186665621174,0.5526007693594247
0.57,0.4387855508801355,0.5541680728990889
0.58,0.4379203138040929,0.5536473388879443
0.59,0.4380981030195347,0.5544723789977767
0.6,0.43511221892581764,0.5547117707973765
0.61,0.43722359912849357,0.5566759388038943
0.62,0.432614900643415,0.556585621829631
0.63,0.4308725727468956,0.5572209486862987
0.64,0.430942701743099,0.5584369449378331
0.65,0.42668093645873045,0.5574064123231238
0.66,0.42123872271721796,0.5557963163596965
0.67,0.41577469508770637,0.5517870167760759
0.68,0.4157681013451109,0.5513056270687754
0.69,0.41157406785547324,0.5500092781592132
0.7,0.40717810469204796,0.5484774892583598
0.71,0.4070485986311338,0.5482233502538071
0.72,0.40457203556033333,0.5465226454424862
0.73,0.39724103445907105,0.5441709597405076
0.74,0.39631780748178286,0.543076923076923
0.75,0.3954235679994668,0.5425635059142913
0.76,0.38918265350992576,0.5392598394360681
0.77,0.383313331050664,0.5370003957261574
0.78,0.3806712933402755,0.5363908275174477
0.79,0.37408973009329094,0.5334673366834171
0.8,0.3705239067011178,0.53092678969783
0.81,0.36801125698146125,0.5298094652735095
0.82,0.36609158870510244,0.5290349245711924
0.83,0.36466400411866473,0.5295468782626853
0.84,0.3603676948262646,0.5277601857715853
0.85,0.3499563644630849,0.5246531483457844
0.86,0.3485082576594666,0.5227858985382631
0.87,0.3433059001843569,0.5201130680582736
0.88,0.3381422659051509,0.517066725390883
0.89,0.3269586163585564,0.5109034267912773
0.9,0.3200703207363976,0.5061978814514312
