true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave,other
house,House,0.6868131868131868,0.04945054945054945,0.028846153846153848,0.03708791208791209,0.0027472527472527475,0.01098901098901099,0.016483516483516484,0.008241758241758242,0.012362637362637362,0.01510989010989011,0.0013736263736263737,0.013736263736263736,0.024725274725274724,0.0,0.004120879120879121,0.01098901098901099,0.016483516483516484,0.03571428571428571,0.017857142857142856,0.006868131868131868
techno,Techno,0.11447811447811448,0.6094276094276094,0.037037037037037035,0.08080808080808081,0.02356902356902357,0.0,0.010101010101010102,0.003367003367003367,0.013468013468013467,0.006734006734006734,0.006734006734006734,0.006734006734006734,0.006734006734006734,0.04040404040404041,0.010101010101010102,0.003367003367003367,0.006734006734006734,0.003367003367003367,0.010101010101010102,0.006734006734006734
electro,Electro,0.08522727272727272,0.07954545454545454,0.42613636363636365,0.017045454545454544,0.005681818181818182,0.056818181818181816,0.05113636363636364,0.028409090909090908,0.022727272727272728,0.017045454545454544,0.0,0.03409090909090909,0.017045454545454544,0.005681818181818182,0.0,0.056818181818181816,0.028409090909090908,0.028409090909090908,0.03409090909090909,0.005681818181818182
trance,Trance,0.025,0.04090909090909091,0.013636363636363636,0.8159090909090909,0.00909090909090909,0.0,0.011363636363636364,0.0,0.00909090909090909,0.0,0.0,0.04318181818181818,0.0022727272727272726,0.006818181818181818,0.0022727272727272726,0.006818181818181818,0.0,0.004545454545454545,0.00909090909090909,0.0
drum_and_bass,Drum & Bass,0.0081799591002045,0.006134969325153374,0.00408997955010225,0.0,0.8384458077709611,0.006134969325153374,0.049079754601226995,0.010224948875255624,0.010224948875255624,0.0081799591002045,0.006134969325153374,0.014314928425357873,0.0,0.018404907975460124,0.0,0.0081799591002045,0.00408997955010225,0.002044989775051125,0.0,0.006134969325153374
footwork,Footwork,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.5,0.13636363636363635,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0
dubstep,Dubstep,0.037162162162162164,0.02027027027027027,0.02027027027027027,0.016891891891891893,0.04054054054054054,0.006756756756756757,0.6452702702702703,0.02027027027027027,0.08108108108108109,0.013513513513513514,0.0,0.0033783783783783786,0.02702702702702703,0.0,0.02027027027027027,0.010135135135135136,0.0033783783783783786,0.0,0.030405405405405407,0.0033783783783783786
future_bass,Future Bass,0.037037037037037035,0.0,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.2777777777777778,0.16666666666666666,0.2037037037037037,0.07407407407407407,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0,0.0,0.037037037037037035
trap_edm,Trap (EDM),0.006896551724137931,0.0,0.034482758620689655,0.013793103448275862,0.041379310344827586,0.006896551724137931,0.2620689655172414,0.020689655172413793,0.47586206896551725,0.013793103448275862,0.027586206896551724,0.020689655172413793,0.020689655172413793,0.013793103448275862,0.006896551724137931,0.013793103448275862,0.006896551724137931,0.0,0.006896551724137931,0.006896551724137931
phonk,Phonk,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.09803921568627451,0.7254901960784313,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0
midtempo,Midtempo,0.0891089108910891,0.0,0.019801980198019802,0.019801980198019802,0.13861386138613863,0.0,0.15841584158415842,0.019801980198019802,0.12871287128712872,0.0,0.26732673267326734,0.0,0.0,0.0,0.0,0.09900990099009901,0.0,0.0,0.04950495049504951,0.009900990099009901
breakbeat,Breakbeat,0.045871559633027525,0.009174311926605505,0.01834862385321101,0.01834862385321101,0.11009174311926606,0.0,0.09174311926605505,0.009174311926605505,0.009174311926605505,0.0,0.009174311926605505,0.5412844036697247,0.06422018348623854,0.01834862385321101,0.0,0.009174311926605505,0.009174311926605505,0.01834862385321101,0.01834862385321101,0.0
uk_garage,UK Garage,0.1111111111111111,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.07777777777777778,0.011111111111111112,0.12222222222222222,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.0,0.011111111111111112,0.4222222222222222,0.0,0.0,0.022222222222222223,0.05555555555555555,0.011111111111111112,0.022222222222222223,0.0
hardcore,Hardcore,0.003745318352059925,0.033707865168539325,0.003745318352059925,0.0149812734082397,0.06741573033707865,0.003745318352059925,0.00749063670411985,0.003745318352059925,0.02247191011235955,0.0,0.0,0.003745318352059925,0.003745318352059925,0.7265917602996255,0.0749063670411985,0.0,0.0,0.003745318352059925,0.003745318352059925,0.02247191011235955
hardstyle,Hardstyle,0.008928571428571428,0.017857142857142856,0.0,0.008928571428571428,0.008928571428571428,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.08035714285714286,0.8035714285714286,0.0,0.0,0.0,0.0,0.03571428571428571
moombahton,Moombahton,0.03821656050955414,0.03821656050955414,0.07006369426751592,0.012738853503184714,0.025477707006369428,0.01910828025477707,0.03821656050955414,0.0,0.006369426751592357,0.012738853503184714,0.0,0.0,0.012738853503184714,0.0,0.0,0.6815286624203821,0.03821656050955414,0.0,0.0,0.006369426751592357
amapiano,Amapiano,0.06172839506172839,0.0,0.037037037037037035,0.0,0.0,0.012345679012345678,0.06172839506172839,0.0,0.012345679012345678,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.04938271604938271,0.7037037037037037,0.037037037037037035,0.012345679012345678,0.0
nu_disco,Nu-Disco,0.15833333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.008333333333333333,0.0,0.0,0.0,0.0,0.008333333333333333,0.6,0.09166666666666666,0.016666666666666666
synthwave,Synthwave,0.06349206349206349,0.031746031746031744,0.007936507936507936,0.023809523809523808,0.007936507936507936,0.0,0.11904761904761904,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.023809523809523808,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.5873015873015873,0.007936507936507936
other,Other,0.20496894409937888,0.043478260869565216,0.07453416149068323,0.006211180124223602,0.09316770186335403,0.006211180124223602,0.13043478260869565,0.018633540372670808,0.08695652173913043,0.018633540372670808,0.0,0.062111801242236024,0.049689440993788817,0.049689440993788817,0.049689440993788817,0.043478260869565216,0.024844720496894408,0.018633540372670808,0.006211180124223602,0.012422360248447204
