true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,0.7142857142857143,0.054945054945054944,0.02197802197802198,0.03983516483516483,0.0027472527472527475,0.01098901098901099,0.009615384615384616,0.0027472527472527475,0.016483516483516484,0.012362637362637362,0.0013736263736263737,0.013736263736263736,0.027472527472527472,0.0013736263736263737,0.0027472527472527475,0.0027472527472527475,0.02197802197802198,0.013736263736263736,0.028846153846153848
techno,Techno,0.12121212121212122,0.67003367003367,0.030303030303030304,0.04040404040404041,0.020202020202020204,0.0,0.006734006734006734,0.0,0.003367003367003367,0.010101010101010102,0.006734006734006734,0.010101010101010102,0.013468013468013467,0.04040404040404041,0.006734006734006734,0.003367003367003367,0.006734006734006734,0.0,0.010101010101010102
electro,Electro,0.10795454545454546,0.03977272727272727,0.4375,0.017045454545454544,0.0,0.03977272727272727,0.028409090909090908,0.005681818181818182,0.06818181818181818,0.011363636363636364,0.0,0.05113636363636364,0.022727272727272728,0.005681818181818182,0.0,0.056818181818181816,0.045454545454545456,0.022727272727272728,0.03977272727272727
trance,Trance,0.029545454545454545,0.05454545454545454,0.00909090909090909,0.7863636363636364,0.013636363636363636,0.0,0.0022727272727272726,0.0,0.015909090909090907,0.0,0.0,0.045454545454545456,0.0022727272727272726,0.006818181818181818,0.0,0.004545454545454545,0.0022727272727272726,0.004545454545454545,0.022727272727272728
drum_and_bass,Drum & Bass,0.0081799591002045,0.0081799591002045,0.002044989775051125,0.0,0.8343558282208589,0.00408997955010225,0.026584867075664622,0.002044989775051125,0.018404907975460124,0.0081799591002045,0.002044989775051125,0.018404907975460124,0.014314928425357873,0.026584867075664622,0.0,0.012269938650306749,0.0081799591002045,0.002044989775051125,0.00408997955010225
footwork,Footwork,0.045454545454545456,0.0,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0
dubstep,Dubstep,0.0472972972972973,0.02702702702702703,0.010135135135135136,0.0,0.08108108108108109,0.016891891891891893,0.48986486486486486,0.010135135135135136,0.125,0.016891891891891893,0.0033783783783783786,0.013513513513513514,0.07094594594594594,0.0033783783783783786,0.02364864864864865,0.006756756756756757,0.013513513513513514,0.0,0.04054054054054054
future_bass,Future Bass,0.037037037037037035,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.24074074074074073,0.05555555555555555,0.3888888888888889,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.1111111111111111,0.0,0.0,0.018518518518518517
trap_edm,Trap (EDM),0.041379310344827586,0.0,0.013793103448275862,0.0,0.05517241379310345,0.006896551724137931,0.0896551724137931,0.013793103448275862,0.6275862068965518,0.05517241379310345,0.013793103448275862,0.013793103448275862,0.034482758620689655,0.0,0.013793103448275862,0.0,0.0,0.0,0.020689655172413793
phonk,Phonk,0.1568627450980392,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.6666666666666666,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0
midtempo,Midtempo,0.09900990099009901,0.0,0.0,0.019801980198019802,0.13861386138613863,0.009900990099009901,0.06930693069306931,0.0,0.18811881188118812,0.0,0.3069306930693069,0.0,0.0,0.0,0.0,0.10891089108910891,0.009900990099009901,0.0,0.04950495049504951
breakbeat,Breakbeat,0.06422018348623854,0.009174311926605505,0.009174311926605505,0.0,0.08256880733944955,0.0,0.01834862385321101,0.0,0.03669724770642202,0.01834862385321101,0.0,0.5412844036697247,0.10091743119266056,0.009174311926605505,0.0,0.009174311926605505,0.027522935779816515,0.01834862385321101,0.05504587155963303
uk_garage,UK Garage,0.06666666666666667,0.05555555555555555,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.011111111111111112,0.044444444444444446,0.0,0.0,0.03333333333333333,0.4666666666666667,0.011111111111111112,0.0,0.011111111111111112,0.13333333333333333,0.0,0.03333333333333333
hardcore,Hardcore,0.00749063670411985,0.04868913857677903,0.0,0.0149812734082397,0.0599250936329588,0.0,0.0,0.003745318352059925,0.026217228464419477,0.003745318352059925,0.0,0.0,0.003745318352059925,0.7790262172284644,0.04868913857677903,0.0,0.0,0.003745318352059925,0.0
hardstyle,Hardstyle,0.008928571428571428,0.026785714285714284,0.0,0.008928571428571428,0.017857142857142856,0.0,0.008928571428571428,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.11607142857142858,0.8035714285714286,0.0,0.0,0.0,0.0
moombahton,Moombahton,0.05732484076433121,0.03821656050955414,0.03184713375796178,0.012738853503184714,0.03184713375796178,0.01910828025477707,0.03821656050955414,0.0,0.006369426751592357,0.012738853503184714,0.0,0.0,0.012738853503184714,0.0,0.0,0.6496815286624203,0.08917197452229299,0.0,0.0
amapiano,Amapiano,0.024691358024691357,0.0,0.012345679012345678,0.0,0.0,0.0,0.06172839506172839,0.0,0.012345679012345678,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.037037037037037035,0.8024691358024691,0.024691358024691357,0.012345679012345678
nu_disco,Nu-Disco,0.25,0.0,0.008333333333333333,0.016666666666666666,0.0,0.0,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.5416666666666666,0.125
synthwave,Synthwave,0.07936507936507936,0.06349206349206349,0.0,0.0,0.007936507936507936,0.0,0.047619047619047616,0.015873015873015872,0.03968253968253968,0.015873015873015872,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.6031746031746031
