epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,1.4086318431316156,1.1772440269510582,0.6415343915343915,0.5563609130868428,0.5563609130868428,0.6409616876356715
2,1.0237524083022982,1.2024192517396635,0.6441798941798942,0.5600288038404796,0.5600288038404796,0.6491521466866168
3,0.8622431797568652,1.1934504120438187,0.6587301587301587,0.5783260708595215,0.5783260708595215,0.6569328236594102
4,0.7194399617981807,1.2332249071232226,0.6497354497354497,0.5696635283529461,0.5696635283529461,0.6490259884121077
5,0.5839800141346505,1.2640695561807622,0.6420634920634921,0.5607086124184357,0.5607086124184357,0.6445994975956719
6,0.4802812560152458,1.3257232242160373,0.6322751322751323,0.5615692654369937,0.5615692654369937,0.6332702050824488
7,0.39115007208565894,1.3313394455682663,0.6436507936507937,0.5684055914387417,0.5684055914387417,0.6448924435581553
8,0.3239123736200016,1.398844923796477,0.6476190476190476,0.5709329573433614,0.5709329573433614,0.6453019640192987
9,0.26558192401824604,1.4979977582497572,0.6362433862433863,0.5611846524023828,0.5611846524023828,0.6287371719749745
10,0.21832437311447306,1.5536787931250517,0.6365079365079365,0.5641492253219919,0.5641492253219919,0.6350643517347078
11,0.17784078941604795,1.5976485721648686,0.6428571428571429,0.5560290562543462,0.5560290562543462,0.6341234136170545
12,0.15542265807044567,1.6581431918674046,0.6322751322751323,0.5585651049533829,0.5585651049533829,0.6304541281655461
13,0.1255023051728169,1.691505282770389,0.6388888888888888,0.5659817923850464,0.5659817923850464,0.6339023051607235
14,0.1024475010236458,1.7300602362900184,0.638095238095238,0.5613923161494544,0.5613923161494544,0.6321814619191951
15,0.09517384377074965,1.788380016347088,0.6399470899470899,0.5693026164159578,0.5693026164159578,0.6371166160387224
