threshold,supported_macro_f1,micro_f1
0.1,0.47712871101474963,0.5465671892027831
0.11,0.48156622415776446,0.5525238744884038
0.12,0.48885504387673534,0.5593132154006244
0.13,0.49287496758854926,0.5637820230654107
0.14,0.4962308671165157,0.5677799607072691
0.15,0.5005111774276765,0.5715577253412892
0.16,0.5049478050343833,0.5759047182775996
0.17,0.509123965231321,0.5799442896935932
0.18,0.5121739672663302,0.583216127519925
0.19,0.5125586300280677,0.5845250497206174
0.2,0.5170485857104513,0.5884943045850484
0.21,0.5194806070165278,0.5913968100531658
0.22,0.5214124270696621,0.5941520467836258
0.23,0.5236000003386152,0.5968360027513021
0.24,0.5269251514118934,0.6001189532117368
0.25,0.5269760111003237,0.6013580986618733
0.26,0.5307863675831161,0.604791624723173
0.27,0.5332384305792512,0.6072044647387113
0.28,0.5341921548347516,0.6076828769922353
0.29,0.5356647724351167,0.609695973705834
0.3,0.5376696509437241,0.6122153209109731
0.31,0.5370389918046236,0.6121174266083698
0.32,0.538386885164434,0.6126258389261746
0.33,0.5407175889207284,0.614168247944339
0.34,0.5420424916080591,0.615694591728526
0.35,0.5429081573832522,0.6170280952889649
0.36,0.5417347092167613,0.617053264604811
0.37,0.5429433264997525,0.6191093817552962
0.38,0.5455281213242111,0.6206071156566206
0.39,0.5463348941276015,0.6221152794487586
0.4,0.5475148234752256,0.6232425307557118
0.41,0.5488601469933405,0.6242544731610338
0.42,0.5499961153021387,0.6250833889259506
0.43,0.5515349826389323,0.6262558606831883
0.44,0.5522671169850399,0.6268388545760808
0.45,0.5509227820530976,0.627145438121048
0.46,0.5522100696606304,0.6283055271819316
0.47,0.5525376919018096,0.629059829059829
0.48,0.5533878751692375,0.6298418519367408
0.49,0.5530729359999303,0.6298087998157107
0.5,0.5548197027917564,0.6311646214401482
0.51,0.5532913263812613,0.6311255965545338
0.52,0.554520626094723,0.6316158429723098
0.53,0.5556029948066886,0.6319493314567206
0.54,0.5536976699128985,0.6324967597502061
0.55,0.5543041911048282,0.6337594696969697
0.56,0.55281177085422,0.6349357448833889
0.57,0.5543520983247437,0.6365483446874627
0.58,0.5547936986825893,0.6363636363636364
0.59,0.5525756850029071,0.6348747591522158
0.6,0.5530928170048959,0.6356157754657632
0.61,0.5519086466203768,0.6361978850127629
0.62,0.5506797242749885,0.6361858190709047
0.63,0.5504140051506695,0.6356379712636622
0.64,0.5499229036712743,0.6358138960878688
0.65,0.5504149112856545,0.6359126984126985
0.66,0.5510318026415978,0.6372011952191234
0.67,0.5500903028426457,0.6371149511645379
0.68,0.5515258379554084,0.6384799295331571
0.69,0.5507189182541034,0.6380073334176256
0.7,0.5503556694388516,0.6378872524123921
0.71,0.5494403107294008,0.637351399718778
0.72,0.5483220776673288,0.6375208949466376
0.73,0.5469414840000151,0.636422385937702
0.74,0.5464292870303938,0.6353461738677773
0.75,0.5434598989291923,0.6330407441372986
0.76,0.5427367108345471,0.6316899551805959
0.77,0.5402656612643106,0.6306998939554613
0.78,0.5357520249558214,0.6285105816584587
0.79,0.5363055837251244,0.628065942903096
0.8,0.5342093510796805,0.6281169968998518
0.81,0.533645502181595,0.6284086284086283
0.82,0.5334739426049009,0.6277671494943974
0.83,0.5294571523454066,0.6253094910591472
0.84,0.5300697019997936,0.6236111111111111
0.85,0.5268315901638243,0.6219051615610575
0.86,0.5241158841819991,0.619563687543983
0.87,0.5243297612499389,0.6185479296653431
0.88,0.5193807806952666,0.6164598488090144
0.89,0.5150935115258138,0.6129959746981024
0.9,0.5120653253289514,0.6106027596223674
