epoch,train_loss,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.26003553407739904,0.09944016817277426,0.28479957580566406,0.35560089349746704
2,0.18444058776994204,0.09061696272097403,0.30239439010620117,0.37051382660865784
3,0.15819960500933714,0.09299559163827562,0.3046503961086273,0.3650972545146942
4,0.13584746721452823,0.08639630628301165,0.3059142231941223,0.37427330017089844
5,0.116495890035557,0.07619035643072047,0.3199550211429596,0.3976304829120636
6,0.10066993968377964,0.07107113765368794,0.3241558074951172,0.4085789620876312
7,0.08626678939496792,0.06521750743971945,0.3358682096004486,0.4275236129760742
8,0.07581120658150874,0.06426973352215234,0.3357837200164795,0.426108717918396
9,0.06614947019077437,0.06309576392689681,0.3399653732776642,0.43602874875068665
10,0.058581260965751523,0.06130940959088449,0.34901949763298035,0.44817930459976196
11,0.05198463029533832,0.0625050691724173,0.34311822056770325,0.4459465742111206
12,0.04761351354952604,0.061755974213204605,0.34929242730140686,0.4530881345272064
13,0.04435797733188999,0.061614509549501074,0.3511730432510376,0.4596489667892456
14,0.038817674731373715,0.06191918603305159,0.34802669286727905,0.46256089210510254
15,0.03525733419093558,0.06345184436144649,0.3501339852809906,0.46197691559791565
16,0.03353606019041404,0.062494925315630064,0.35458749532699585,0.469992458820343
17,0.03035613081194523,0.0623665234604212,0.3515680730342865,0.47197288274765015
18,0.028020322432316277,0.06373715846045597,0.35192498564720154,0.480022668838501
19,0.02561038242618054,0.06486148750350976,0.34327423572540283,0.47085100412368774
20,0.02583491897850727,0.06555238239395374,0.3431454002857208,0.4771103858947754
21,0.022611896128561362,0.06738473908055449,0.34397628903388977,0.4721660315990448
22,0.02176379384380236,0.06800066194903097,0.3481167256832123,0.479023814201355
23,0.020842457080356917,0.06964281915070607,0.3548146188259125,0.4857042133808136
24,0.018895648314161063,0.07110553522042085,0.34764808416366577,0.4771348536014557
25,0.01927392765032258,0.07207400830418109,0.34815484285354614,0.4788951277732849
26,0.01600068512424618,0.07470574676532844,0.3485693335533142,0.48444366455078125
27,0.016253513893995035,0.07289747339078506,0.34093359112739563,0.4725668728351593
28,0.01583312807036965,0.07546540002957346,0.34686407446861267,0.487459659576416
29,0.014998841861469549,0.07713341983223734,0.33664530515670776,0.4743226170539856
30,0.014582805874505457,0.07678995070536676,0.3459644317626953,0.4845760762691498
31,0.013993034771399772,0.07698694647448565,0.34750545024871826,0.48294511437416077
32,0.013543282537035468,0.08074594712300655,0.34596139192581177,0.48643559217453003
33,0.013245933457926087,0.08065215965131467,0.34546104073524475,0.4810715615749359
