threshold,validation_macro_supported_f1,validation_micro_f1
0.1,0.31574065399354057,0.4078527607361963
0.11,0.3186796468762771,0.41293117813697716
0.12,0.3208266800925278,0.4165396986626037
0.13,0.3227529492797229,0.41994502662772715
0.13999999999999999,0.32614570346508387,0.424165868106978
0.14999999999999997,0.32837404227605377,0.42789712823679915
0.15999999999999998,0.33036371693398187,0.4312726297438649
0.16999999999999998,0.33112713569721264,0.4334116371521503
0.17999999999999997,0.3312937960269945,0.4348421870004111
0.18999999999999995,0.3336180590571875,0.4374740148750404
0.19999999999999996,0.33510152261566406,0.4400429765964404
0.20999999999999996,0.33568351464559737,0.44197123319971704
0.21999999999999995,0.33627637347188694,0.443841872413301
0.22999999999999995,0.33741815648493273,0.44530912235192394
0.23999999999999994,0.3389677369248519,0.4477178021126078
0.24999999999999992,0.3410511809696313,0.4501953125
0.2599999999999999,0.3425533502026302,0.452356330329443
0.2699999999999999,0.344221824885083,0.4546944044486371
0.2799999999999999,0.3457326046433812,0.45681113001701534
0.2899999999999999,0.3470027270155684,0.4588460762557999
0.29999999999999993,0.34740041783846276,0.4607643830046758
0.30999999999999994,0.3476292294333931,0.46223998360487756
0.3199999999999999,0.34857226817383347,0.4639504899432697
0.32999999999999985,0.34920738934185264,0.46556559675911496
0.33999999999999986,0.34984349392320874,0.46663531379004025
0.34999999999999987,0.350559928916825,0.468809272918862
0.3599999999999999,0.3502560914632898,0.4698954962601454
0.3699999999999999,0.35094613686413406,0.4710028836911246
0.3799999999999999,0.3505129222807412,0.4714984150862301
0.3899999999999999,0.3511996776706882,0.47341690079965426
0.3999999999999998,0.3523112036536727,0.4749836850119643
0.4099999999999998,0.35329538129718174,0.47663346831563974
0.4199999999999998,0.3522055160109663,0.47767118756202454
0.4299999999999998,0.3532932047138675,0.4795827785175321
0.43999999999999984,0.35406608243739973,0.4814153365330952
0.44999999999999984,0.3545443491421082,0.482843825461897
0.45999999999999985,0.3526368483875851,0.4825289302850691
0.46999999999999986,0.35260783693412273,0.48351398899040915
0.47999999999999976,0.35271580301320693,0.4840568136444014
0.48999999999999977,0.3537136850258053,0.48502925318343465
0.4999999999999998,0.35454123138395593,0.4861471113415126
0.5099999999999998,0.35362930498656875,0.48679332715477297
0.5199999999999998,0.3522882078866104,0.48663132754703786
0.5299999999999998,0.3531723042111584,0.48797049698530703
0.5399999999999998,0.3527297992220379,0.4887346314489087
0.5499999999999998,0.35312358898675433,0.48909896602658787
0.5599999999999997,0.35258892981688494,0.4895851878226812
0.5699999999999997,0.3523141265257391,0.48998091603053434
0.5799999999999997,0.35199897668918106,0.4903851913975918
0.5899999999999997,0.35242272303766403,0.4916591388136104
0.5999999999999998,0.35144804799865487,0.492071177823508
0.6099999999999998,0.35185792950594275,0.4932140466191955
0.6199999999999998,0.35168471793420636,0.4932428300617624
0.6299999999999997,0.3529202452136465,0.49477437599901636
0.6399999999999997,0.3521329664269349,0.49455849616621317
0.6499999999999997,0.35173220904150204,0.4953980099502488
0.6599999999999997,0.3516840660959906,0.4961191787681522
0.6699999999999997,0.35241942899155027,0.49716588991056804
0.6799999999999997,0.35394806165672194,0.4987006401724029
0.6899999999999997,0.35278773275948555,0.499043245311902
0.6999999999999996,0.3522430646138589,0.49967886962106617
0.7099999999999996,0.3496160374051803,0.4994183792167507
0.7199999999999996,0.34798161504239794,0.4991873090176191
0.7299999999999996,0.34655630662343867,0.4991493260044497
0.7399999999999997,0.3453678520403435,0.49888025293110255
0.7499999999999997,0.34420590359856873,0.49900570064960886
0.7599999999999997,0.3444036658230037,0.49943246311010214
0.7699999999999997,0.3442388670305,0.5000336587007741
0.7799999999999997,0.3441170929269027,0.5003389830508475
0.7899999999999996,0.3435473855735528,0.5004440194002323
0.7999999999999996,0.34302337380789355,0.5009975920192639
0.8099999999999996,0.34261547360264416,0.5011086474501109
0.8199999999999996,0.3415220576447526,0.5020237264480112
0.8299999999999996,0.3398378937219653,0.5014076576576576
0.8399999999999996,0.3375540793905622,0.5003907082474958
0.8499999999999996,0.3364879093884436,0.5004657828735221
0.8599999999999995,0.33625904227615994,0.5011919381636928
0.8699999999999996,0.3340639406384681,0.500474487188846
0.8799999999999996,0.33067712694064855,0.4995209669098681
0.8899999999999996,0.3261173871236234,0.49772811918063314
0.8999999999999996,0.3213773283996221,0.4951002562942861
