threshold,validation_macro_supported_f1,validation_micro_f1
0.1,0.3166063169637739,0.41055131891486435
0.11,0.3194650035087506,0.4152481215774504
0.12,0.3217154542587422,0.4188192677562637
0.13,0.32355142658046304,0.42209867355426167
0.13999999999999999,0.3269242127835201,0.42631392045454547
0.14999999999999997,0.32910037663172365,0.429900660763249
0.15999999999999998,0.3311210724721365,0.4334001457725947
0.16999999999999998,0.33192713742994406,0.43548312848133314
0.17999999999999997,0.33216898454974964,0.43708979192850156
0.18999999999999995,0.3344609561400652,0.4395914717371864
0.19999999999999996,0.3359042466416603,0.4420762167562681
0.20999999999999996,0.33650542689477514,0.4439000960614794
0.21999999999999995,0.33716828438679775,0.4459197518899011
0.22999999999999995,0.338155252770702,0.44731435280305254
0.23999999999999994,0.33971875542262997,0.4498495239034979
0.24999999999999992,0.3417915423869253,0.45231228244654403
0.2599999999999999,0.34330541454454866,0.45468679472390794
0.2699999999999999,0.3449774375696577,0.4568163430420712
0.2799999999999999,0.34628400903885814,0.45859028591814893
0.2899999999999999,0.3474640535654868,0.4602188093892855
0.29999999999999993,0.3478728180548181,0.4620240066225165
0.30999999999999994,0.34803273176689425,0.46324679386925244
0.3199999999999999,0.3489671523821038,0.46494542401343414
0.32999999999999985,0.34961139506153444,0.4667019027484144
0.33999999999999986,0.3502963616152445,0.4677908399382946
0.34999999999999987,0.3509255695443588,0.46957267706825373
0.3599999999999999,0.3507216311075225,0.4707660746099444
0.3699999999999999,0.3514900627055439,0.4721739130434783
0.3799999999999999,0.35106741709790573,0.4727749835993877
0.3899999999999999,0.3517464601703867,0.47446258727802515
0.3999999999999998,0.35276629831561473,0.4756212297304776
0.4099999999999998,0.353672906591641,0.4769436400089106
0.4199999999999998,0.3524524667156242,0.47748303516347934
0.4299999999999998,0.35348663185675255,0.4793453724604966
0.43999999999999984,0.35422644829057975,0.4809307604994325
0.44999999999999984,0.35471994558003794,0.482297852900868
0.45999999999999985,0.35288496976691003,0.48217258999827756
0.46999999999999986,0.3527796203628453,0.4828581322867367
0.47999999999999976,0.352973379402503,0.48364269141531324
0.48999999999999977,0.35401578542842516,0.4845974329054842
0.4999999999999998,0.3548146031739124,0.48570424185610495
0.5099999999999998,0.3539582329049534,0.4866552760266305
0.5199999999999998,0.3526598013363603,0.4867298578199052
0.5299999999999998,0.35350954629510095,0.4880023816612087
0.5399999999999998,0.35293556147136806,0.48833034111310586
0.5499999999999998,0.35330103093007953,0.4886698323014967
0.5599999999999997,0.3527666953374882,0.48913305964742815
0.5699999999999997,0.35243422899982,0.48926101201310523
0.5799999999999997,0.3521909729999485,0.4898829839102877
0.5899999999999997,0.3525982783788631,0.4910539215686275
0.5999999999999998,0.3514844651172489,0.49134692369280036
0.6099999999999998,0.35189196036719866,0.4923210304681695
0.6199999999999998,0.3517374101175388,0.49250295526659615
0.6299999999999997,0.35286027648489676,0.49355686225447265
0.6399999999999997,0.35202920032460316,0.4931093071549934
0.6499999999999997,0.3515640567425927,0.4937646388554789
0.6599999999999997,0.351503988761308,0.4943949044585987
0.6699999999999997,0.3520977508292685,0.49538461538461537
0.6799999999999997,0.3535584540851551,0.49654727331397225
0.6899999999999997,0.3524934048453972,0.4971421148350221
0.6999999999999996,0.3520073413066284,0.49790794979079495
0.7099999999999996,0.34942410098899435,0.49753403038074573
0.7199999999999996,0.34786976225384336,0.4971557084270406
0.7299999999999996,0.3463965040574015,0.4965370271710176
0.7399999999999997,0.3451029188722925,0.49624664879356567
0.7499999999999997,0.3439343270667864,0.49649312112220123
0.7599999999999997,0.3440173918377155,0.4963672166768521
0.7699999999999997,0.34379505514824,0.4967159277504105
0.7799999999999997,0.34374909090259465,0.4972451790633609
0.7899999999999996,0.34304187367945027,0.497293546148508
0.7999999999999996,0.34242916967450987,0.49706457925636005
0.8099999999999996,0.3419594208535109,0.497078082095332
0.8199999999999996,0.3406638013032462,0.49716392512762336
0.8299999999999996,0.33888963179712706,0.49656652360515025
0.8399999999999996,0.3366214089710621,0.49577708799538006
0.8499999999999996,0.33555247866154864,0.4954876273653567
0.8599999999999995,0.33547431289336094,0.49636857163817777
0.8699999999999996,0.33326552807582743,0.49570115624073524
0.8799999999999996,0.3298254369349129,0.49423566402156016
0.8899999999999996,0.3251692979960016,0.49201423056543797
0.8999999999999996,0.32042509355472176,0.48913043478260865
