threshold,macro_f1,micro_f1
0.1,0.05600957685458563,0.06287492993357106
0.11,0.0626130948445409,0.07384624107041614
0.12,0.07006550007553128,0.08586952898429948
0.13,0.07806130174955166,0.09830233187671604
0.14,0.08647842154253087,0.11102004651677927
0.15,0.09563363104115856,0.12431536103713381
0.16,0.10441414228138178,0.13713708092323243
0.17,0.1139965414850169,0.15042649897266672
0.18,0.12318559103022068,0.16337023960511432
0.19,0.13105998126303467,0.17534819461558565
0.2,0.1397852144549745,0.18772241992882563
0.21,0.14729034099456453,0.1991032951725939
0.22,0.15685927432627855,0.2118097729608521
0.23,0.16514838849084598,0.22308496341645515
0.24,0.1724923001312465,0.23342315211074127
0.25,0.1808495287712795,0.24468025377575656
0.26,0.1886226845015078,0.25568013288248204
0.27,0.19512860677968025,0.2648618302039798
0.28,0.20318112932091287,0.2758123689727463
0.29,0.2112792016335178,0.2865958176208433
0.3,0.21752367863696895,0.2968303826384923
0.31,0.2251761430753346,0.3067411545623836
0.32,0.23163055276178032,0.31495819139052333
0.33,0.2365952349681642,0.32350815195566623
0.34,0.24349911262516055,0.33200066633349995
0.35,0.25155507399141275,0.3418389412680564
0.36,0.25552135770728107,0.3488890871776569
0.37,0.2594197308028696,0.35624252461127975
0.38,0.26620215662675467,0.36451521182826274
0.39,0.2713691888982759,0.37155918684952827
0.4,0.2758120241557578,0.3786427145708583
0.41,0.28084352079074854,0.3858534085084572
0.42,0.28515099490176293,0.3929248262792167
0.43,0.2884798823963162,0.39891891891891884
0.44,0.29008562377198455,0.4049733570159858
0.45,0.2920429490542892,0.4089261440869959
0.46,0.29563403596987514,0.4140643071940782
0.47,0.29972533885051866,0.4206546142030013
0.48,0.3029448243030483,0.42579398623354664
0.49,0.3057474970798598,0.43003076923076916
0.5,0.3097625304379339,0.4363133408776563
0.51,0.3100610472696527,0.43944238393656476
0.52,0.31207819156856764,0.44386626772473
0.53,0.31418313833183575,0.4474172185430464
0.54,0.31706512498581735,0.4524033930254477
0.55,0.3171891436912061,0.4564680032957979
0.56,0.3195563335074555,0.4596255937412685
0.57,0.31923928553314257,0.4626547161758429
0.58,0.3192906311191178,0.4655946689844995
0.59,0.31913474437429706,0.46673550671190445
0.6,0.3182259950134282,0.4686656671664168
0.61,0.3174888237311142,0.47114503816793896
0.62,0.31795026236655627,0.4733415995040298
0.63,0.3134886376984921,0.47443762781186094
0.64,0.3108065298607564,0.4765261977247236
0.65,0.3059917501824732,0.4778156996587031
0.66,0.3043954482198954,0.478368152656687
0.67,0.304725155959701,0.48154950743028885
0.68,0.3054884001581781,0.4839037614368011
0.69,0.30709028244271525,0.48576329331046314
0.7,0.3064976985108095,0.48775403856175087
0.71,0.3040383848903073,0.48874032371569315
0.72,0.3014658847793325,0.48888888888888893
0.73,0.2999112855839611,0.4891128306640274
0.74,0.29739403703417033,0.4883466860888565
0.75,0.28871512335097793,0.4863367799113737
0.76,0.28901334812907414,0.48642576296573675
0.77,0.2822420515583044,0.48582841925052317
0.78,0.27962566625834057,0.4828780300115429
0.79,0.27684756996883625,0.4812646370023419
0.8,0.27526939614672924,0.48033208143901956
0.81,0.27340358521626607,0.4784612302143859
0.82,0.2687606804198756,0.4741974806989029
0.83,0.26404184096284355,0.4721704945168632
0.84,0.2585100288636039,0.4707853403141362
0.85,0.25563691570558833,0.46903596509895723
0.86,0.24441472159690156,0.4652164548783115
0.87,0.23918297701728183,0.4573304157549234
0.88,0.23049875286202182,0.45254501000222275
0.89,0.22560139920945338,0.4466456551103106
0.9,0.21759316172032836,0.44135098128708355
