epoch,train_loss,train_bce,train_hierarchy_penalty,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.5053661834254581,0.5053661834254581,0.0,0.24170232992702625,0.4193898141384125,0.48541459441185
2,0.3527047113785503,0.3527047113785503,0.0,0.2148424490362298,0.4500051736831665,0.5086521506309509
3,0.2962146275279196,0.2962146275279196,0.0,0.2049842617442149,0.4597315490245819,0.520509660243988
4,0.2512381480820789,0.2512381480820789,0.0,0.1867162219603738,0.4712720811367035,0.540825605392456
5,0.2167233579489027,0.2167233579489027,0.0,0.1845659755476751,0.4893491566181183,0.5520377159118652
6,0.19136025963197018,0.19136025963197018,0.0,0.17344349491908662,0.498145192861557,0.5614342093467712
7,0.16905370059622807,0.16905370059622807,0.0,0.16553304994535578,0.5092129111289978,0.5752398371696472
8,0.14870872447612327,0.14870872447612327,0.0,0.16030259358966728,0.5120566487312317,0.5847865343093872
9,0.13390210186193582,0.13390210186193582,0.0,0.1530336749444454,0.5330914855003357,0.6012696027755737
10,0.11906456432633279,0.11906456432633279,0.0,0.15734540864955432,0.5307072401046753,0.596446692943573
11,0.1084136799724945,0.1084136799724945,0.0,0.15940929033241621,0.5345665216445923,0.6027534604072571
12,0.099252029532577,0.099252029532577,0.0,0.1509632262598343,0.5445845723152161,0.6154481768608093
13,0.09045168105274877,0.09045168105274877,0.0,0.15659662535671687,0.5415800213813782,0.6127966642379761
14,0.08294430821057364,0.08294430821057364,0.0,0.15268143443138696,0.5436126589775085,0.6186724305152893
15,0.07362589551384874,0.07362589551384874,0.0,0.15360853876763764,0.5596557259559631,0.6258429884910583
16,0.06852105267445037,0.06852105267445037,0.0,0.15368802761335554,0.5633552074432373,0.6319390535354614
17,0.06484674585836922,0.06484674585836922,0.0,0.1598230569621228,0.5615455508232117,0.624534547328949
18,0.061773849356614584,0.061773849356614584,0.0,0.1624520190255413,0.5560019612312317,0.6263614296913147
19,0.058058750713194024,0.058058750713194024,0.0,0.16378264241246002,0.555803120136261,0.625690758228302
20,0.05402605397731305,0.05402605397731305,0.0,0.1675382342237972,0.5455110669136047,0.6248316168785095
21,0.05539427574959313,0.05539427574959313,0.0,0.18373384156665035,0.540468156337738,0.616284191608429
22,0.0640514327361044,0.0640514327361044,0.0,0.18417624077917846,0.5312005281448364,0.6064671874046326
23,0.06400996412209072,0.06400996412209072,0.0,0.18063691661679462,0.5462944507598877,0.6201323866844177
24,0.05796478399595759,0.05796478399595759,0.0,0.1902867643761528,0.5413241982460022,0.6130159497261047
25,0.056293204162525534,0.056293204162525534,0.0,0.19037467554995888,0.5375528335571289,0.6150909662246704
26,0.05553429416510563,0.05553429416510563,0.0,0.18917669519391517,0.5387697815895081,0.6157971024513245
27,0.050900989418810126,0.050900989418810126,0.0,0.19445842642939576,0.5451071262359619,0.6164445877075195
28,0.047178579177433344,0.047178579177433344,0.0,0.19458610702114726,0.5367541313171387,0.6182194948196411
