epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,1.4073017842212452,1.9420509128908037,0.5848078096400244,0.5266552420543922,0.5543739390046233,0.5508598185920004
2,1.0299786200241354,1.9987297919263485,0.588163514338011,0.5401240421899219,0.5685516233578125,0.5521821487468567
3,0.8686735262180038,2.1704565470650694,0.5887736424649176,0.530756233223941,0.5586907718146749,0.5559822278788569
4,0.728400705832903,2.2856958236833984,0.6012812690665039,0.5479097722289186,0.5767471286620196,0.5617127014578213
5,0.6243172744787614,2.4234061948114083,0.5991458206223307,0.5408697945830451,0.5693366258768895,0.5585438392741561
6,0.525293037182709,2.507024396113174,0.5875533862111043,0.5414808080477252,0.5699797979449739,0.5491206847146901
7,0.43158282667600495,2.689561672804194,0.5912141549725443,0.5401793875208282,0.5686098816008718,0.5500077740201856
8,0.3610665439458608,2.766315918713535,0.5918242830994509,0.5417473170034824,0.5702603336878763,0.5522738402636891
9,0.30468457112120584,2.877968192900587,0.5942647956070775,0.5423888610417882,0.5709356432018824,0.5556447272308834
10,0.2542392401670449,2.997675101447207,0.589993898718731,0.5407522963961189,0.569212943574862,0.5499111551406413
11,0.22293872881045282,3.158916862073506,0.5896888346552777,0.5416300400075652,0.5701368842184897,0.5493996228459835
12,0.1974212710041607,3.220375605659415,0.5915192190359976,0.5460090546210505,0.5747463732853163,0.5506993345143503
13,0.17440893298711257,3.272767477169351,0.5878584502745576,0.5373394531236791,0.5656204769722939,0.5490835228121251
14,0.1456766783364386,3.413790760424313,0.5845027455765711,0.535392082117451,0.5635706127552116,0.5431639344366703
15,0.12589590541619555,3.5820474397707014,0.588163514338011,0.5345647281388277,0.562699713830345,0.5469782305306297
16,0.1181514523810184,3.60667344024081,0.5902989627821843,0.537459034074516,0.5657463516573852,0.54925621679368
