true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave,other
house,House,0.7419898819561551,0.06913996627318718,0.01011804384485666,0.01854974704890388,0.0016863406408094434,0.00505902192242833,0.03204047217537943,0.003372681281618887,0.003372681281618887,0.01517706576728499,0.006745362563237774,0.01011804384485666,0.006745362563237774,0.00505902192242833,0.006745362563237774,0.006745362563237774,0.01517706576728499,0.0387858347386172,0.003372681281618887,0.0
techno,Techno,0.17883211678832117,0.656934306569343,0.0036496350364963502,0.032846715328467155,0.025547445255474453,0.0072992700729927005,0.014598540145985401,0.0,0.0036496350364963502,0.0072992700729927005,0.014598540145985401,0.0036496350364963502,0.0072992700729927005,0.01824817518248175,0.010948905109489052,0.0,0.0,0.0,0.014598540145985401,0.0
electro,Electro,0.15137614678899083,0.03669724770642202,0.46788990825688076,0.0,0.013761467889908258,0.009174311926605505,0.06422018348623854,0.01834862385321101,0.022935779816513763,0.01834862385321101,0.013761467889908258,0.05963302752293578,0.022935779816513763,0.009174311926605505,0.0,0.009174311926605505,0.03669724770642202,0.03211009174311927,0.013761467889908258,0.0
trance,Trance,0.05737704918032787,0.11475409836065574,0.012295081967213115,0.6926229508196722,0.03278688524590164,0.0,0.012295081967213115,0.0,0.0,0.004098360655737705,0.00819672131147541,0.01639344262295082,0.004098360655737705,0.02459016393442623,0.004098360655737705,0.0,0.0,0.01639344262295082,0.0,0.0
drum_and_bass,Drum & Bass,0.009259259259259259,0.009259259259259259,0.006172839506172839,0.0030864197530864196,0.8271604938271605,0.0030864197530864196,0.05555555555555555,0.0,0.006172839506172839,0.006172839506172839,0.0030864197530864196,0.018518518518518517,0.0030864197530864196,0.033950617283950615,0.0030864197530864196,0.009259259259259259,0.0030864197530864196,0.0,0.0,0.0
footwork,Footwork,0.15789473684210525,0.02631578947368421,0.10526315789473684,0.02631578947368421,0.13157894736842105,0.3157894736842105,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0
dubstep,Dubstep,0.04225352112676056,0.02112676056338028,0.014084507042253521,0.0,0.02112676056338028,0.007042253521126761,0.7676056338028169,0.02112676056338028,0.017605633802816902,0.014084507042253521,0.01056338028169014,0.007042253521126761,0.014084507042253521,0.014084507042253521,0.0,0.014084507042253521,0.007042253521126761,0.0035211267605633804,0.0035211267605633804,0.0
future_bass,Future Bass,0.0,0.0,0.1276595744680851,0.0,0.06382978723404255,0.0425531914893617,0.2765957446808511,0.2127659574468085,0.1276595744680851,0.06382978723404255,0.06382978723404255,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0
trap_edm,Trap (EDM),0.0,0.0,0.08163265306122448,0.0,0.02040816326530612,0.0,0.2653061224489796,0.030612244897959183,0.42857142857142855,0.04081632653061224,0.061224489795918366,0.01020408163265306,0.0,0.030612244897959183,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0
phonk,Phonk,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
midtempo,Midtempo,0.04054054054054054,0.013513513513513514,0.04054054054054054,0.0,0.02702702702702703,0.0,0.08108108108108109,0.013513513513513514,0.06756756756756757,0.05405405405405406,0.581081081081081,0.013513513513513514,0.013513513513513514,0.0,0.0,0.02702702702702703,0.0,0.013513513513513514,0.013513513513513514,0.0
