epoch,train_loss,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.3562376329494132,0.10529640367740416,0.2724790871143341,0.3504158854484558
2,0.16474910306654084,0.08235741824862113,0.3136254847049713,0.39700084924697876
3,0.12802041557973257,0.07370706634054855,0.3393235504627228,0.4149179756641388
4,0.10516657439493073,0.06606750034983891,0.350626140832901,0.4395934045314789
5,0.08914759796891111,0.06208211209691732,0.3420642912387848,0.43804728984832764
6,0.07685120893805893,0.05957571473794506,0.3478979468345642,0.4563758671283722
7,0.0668103541520524,0.05672068717959876,0.34932243824005127,0.45667093992233276
8,0.0589028666232286,0.05388525033320023,0.3524533808231354,0.46952489018440247
9,0.052057034597008785,0.05078050605903915,0.3545271158218384,0.4804912209510803
10,0.046302024354257884,0.04958569981219624,0.35653969645500183,0.4862360954284668
11,0.04172033087116647,0.04797429809303667,0.3555302321910858,0.49296942353248596
12,0.03814667292596804,0.048244152144085846,0.35325124859809875,0.4885120689868927
13,0.034706492589725454,0.046405824700418444,0.35939961671829224,0.5060897469520569
14,0.03146708236248524,0.04600778962181561,0.35574638843536377,0.5010291337966919
15,0.028585804948318867,0.044912514676168636,0.35333070158958435,0.5106704831123352
16,0.025772287536533267,0.04573779958155854,0.34931591153144836,0.5067639350891113
17,0.02369667099705192,0.04468406187284977,0.35622814297676086,0.5139909386634827
18,0.022234738474627383,0.045336141057179036,0.34671759605407715,0.5090280771255493
19,0.02074144357631,0.045290395087579184,0.3476085662841797,0.5075008273124695
20,0.019498668722240407,0.04655332366156755,0.352243572473526,0.5106449723243713
21,0.0182463887681761,0.045699198911574375,0.362289696931839,0.5164120197296143
22,0.016583574773407377,0.04575706178624331,0.34787383675575256,0.5126751065254211
23,0.015477574086834657,0.04686126402342043,0.34052005410194397,0.5106735229492188
24,0.014519039556681662,0.04719380589956381,0.340051531791687,0.5118004083633423
25,0.0133735087028444,0.047384190790618855,0.3491792678833008,0.5137677192687988
26,0.012727661614060491,0.0479086585021946,0.339446485042572,0.5135599374771118
27,0.011554506013403066,0.047865709643949324,0.3521852195262909,0.5249956846237183
28,0.011009523642843556,0.048542827374552885,0.3458637297153473,0.5209497213363647
29,0.010385193209875186,0.04891398511947425,0.34249797463417053,0.5185450911521912
30,0.010206524869045117,0.04957443750597286,0.35011976957321167,0.5221519470214844
31,0.00913540069591786,0.049134620676503114,0.3383771777153015,0.5191751718521118
32,0.008516610121294066,0.05032606212370986,0.3371943533420563,0.5156445503234863
33,0.008212902155617404,0.05056221618252375,0.3482310175895691,0.5169945955276489
