threshold,supported_macro_f1,micro_f1
0.1,0.32340765212369577,0.42005887727134306
0.11,0.32811707614967817,0.42760204614260366
0.12,0.3325612363257624,0.4350058842409329
0.13,0.33563009247274966,0.44103799408737543
0.14,0.3375136209945111,0.44612982377871957
0.15,0.34027350063847706,0.45104735883424407
0.16,0.3403559019570569,0.4537756640760933
0.17,0.3445156920346554,0.4594274899455879
0.18,0.3484587151147497,0.46440596440596443
0.19,0.34608942689212835,0.4652354232739693
0.2,0.3453486632236363,0.46863377138606505
0.21,0.3459231681806022,0.47008547008547014
0.22,0.3483777238659405,0.4733426644611274
0.23,0.3496082186038384,0.47570069426587813
0.24,0.3532084422778909,0.47865022712524335
0.25,0.35352114429979486,0.48163693599160545
0.26,0.3513577108912763,0.48342614691063374
0.27,0.3539050427251444,0.48618932689729155
0.28,0.35163856706692087,0.4859535386277688
0.29,0.3520669986030109,0.48683312866693945
0.3,0.35224963464119163,0.4884297520661157
0.31,0.3506942144856682,0.4890622822906507
0.32,0.35204445488315644,0.49093209616195693
0.33,0.35205488367250976,0.4929138321995465
0.34,0.3514285045290947,0.4941445301342474
0.35,0.3506761811878822,0.4954578226387888
0.36,0.35264577475043046,0.4970190490039261
0.37,0.3522848668463079,0.4986791899031406
0.38,0.35402160231859825,0.5020734597156399
0.39,0.3533736724683107,0.5038898862956314
0.4,0.35477810247984887,0.505348802169655
0.41,0.3545006081264463,0.505918057663126
0.42,0.3558084323927922,0.5071799572257868
0.43,0.3572768042722461,0.5077848003699708
0.44,0.35867719821810484,0.509870977770869
0.45,0.36105198178597947,0.512451057165231
0.46,0.3592993692444714,0.5121489428841906
0.47,0.36103174122533044,0.5132771505803785
0.48,0.36185212469480293,0.5145693243675952
0.49,0.3616173101504305,0.5158896596225198
0.5,0.3622896866705531,0.5164120896977575
0.51,0.3618610230735685,0.5179243738746112
0.52,0.36077822772036255,0.5182253010061025
0.53,0.3568042372796009,0.5159468438538205
0.54,0.35619725531228114,0.5171433350058537
0.55,0.3554055243408365,0.5176589303733602
0.56,0.35497582756860113,0.5196343940419771
0.57,0.35584172827976684,0.5199318568994891
0.58,0.35356265597791814,0.5212765957446809
0.59,0.3528276609530022,0.5215889464594128
0.6,0.3529707263132172,0.52366040361865
0.61,0.35272785472892354,0.523292469352014
0.62,0.35069799734084495,0.5220458553791888
0.63,0.34983193913298977,0.5218162468960624
0.64,0.348712537161358,0.5212575919971418
0.65,0.347879809919732,0.5208783297336212
0.66,0.345750886218464,0.5208257877580587
0.67,0.34164187339852436,0.5199635369188697
0.68,0.3408165920596457,0.5207644248438075
0.69,0.33754993663417354,0.5192307692307693
0.7,0.3360584997171267,0.5196352131025498
0.71,0.3295188759669773,0.5175060850028085
0.72,0.32957483883047045,0.5167861184458694
0.73,0.3277349784557339,0.5153070926031564
0.74,0.32510639330340885,0.5158197507190796
0.75,0.32333996807759635,0.5156189741612033
0.76,0.3219744308939938,0.5146744412050536
0.77,0.3203356755757945,0.5128607893186727
0.78,0.3182701808030554,0.5122529644268775
0.79,0.3149383228162166,0.5110535749850628
0.8,0.3107895093219645,0.507720072187688
0.81,0.3066513306820406,0.5054589567327132
0.82,0.3055822053155383,0.5051082958724968
0.83,0.3046199909822753,0.5037037037037038
0.84,0.301388383740845,0.5035225859925404
0.85,0.2956046937392701,0.5003140046054009
0.86,0.289119903425222,0.4983065198983912
0.87,0.28652830487429953,0.496478121664888
0.88,0.2804173714129316,0.4909326424870466
0.89,0.2777749329806944,0.48283402580363
0.9,0.2731322099004558,0.4797521575569816
