epoch,train_loss,train_bce,train_hierarchy_penalty,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.35833610980480507,0.3578590366726196,0.004770721577464677,0.10490914107723077,0.26596835255622864,0.3454097807407379
2,0.16477115512764554,0.16457232620766266,0.001988287093778778,0.08274903357002922,0.3072035014629364,0.39306914806365967
3,0.128093210500736,0.12794230621094507,0.0015090512638639227,0.07425445969941159,0.3261145353317261,0.41031211614608765
4,0.10600579506162669,0.10585554389513842,0.0015025088661653285,0.06746536221552124,0.3357444107532501,0.4288093149662018
5,0.08924971478344264,0.08911348674394348,0.0013622777948077206,0.062094595372911204,0.33749520778656006,0.4365460276603699
6,0.07624404945418588,0.076117311868899,0.0012673698570421304,0.05901181602228047,0.34186336398124695,0.4539202153682709
7,0.06633942577942313,0.06621973192855629,0.0011969392245338615,0.05659772520452777,0.3444352447986603,0.4564257264137268
8,0.058658893605094624,0.05854949380403326,0.0010940029768633005,0.053243442600395235,0.3459775745868683,0.4679180085659027
9,0.05261848155158719,0.052511000918975995,0.0010748029731156852,0.050911468732508056,0.3485483229160309,0.4786565899848938
10,0.04668609503099072,0.04658931315054012,0.0009678188142802071,0.050335059809653505,0.34354233741760254,0.4831949472427368
11,0.04191868715684174,0.041829846106631215,0.0008884137905318196,0.0485739417053196,0.3486984372138977,0.4863617420196533
12,0.03716528775010059,0.03708072239003111,0.0008456541429872135,0.04826263254414796,0.3452960252761841,0.4926379323005676
13,0.03387526497052851,0.03379663935585905,0.0007862579333960901,0.046004807991771104,0.3540008068084717,0.4994259178638458
14,0.03144688294336139,0.03137173178784321,0.0007515121542695459,0.046210810843384804,0.3504481911659241,0.5029905438423157
15,0.028728795548813368,0.02865787607429492,0.000709195679681812,0.04588637365738655,0.3461175560951233,0.5040504336357117
16,0.026210099686675505,0.026141703066419886,0.0006839665291415532,0.04606240315435234,0.34861910343170166,0.5032414197921753
17,0.024109944624801115,0.024048506049289323,0.0006143849930312626,0.04574002260513939,0.34454023838043213,0.5076566338539124
18,0.022558165470964925,0.022497914187547756,0.0006025123891711838,0.04626685146266792,0.3443186581134796,0.5053459405899048
19,0.0209523178213063,0.020894616749477613,0.0005770084524877362,0.045882374241446866,0.3404921889305115,0.5042600035667419
20,0.019492041591186112,0.019434866435235475,0.0005717529662019244,0.046570797741491234,0.34604355692863464,0.511435866355896
21,0.018553996323660858,0.018499947016243197,0.0005404928561947186,0.045904678338060424,0.3461660146713257,0.5173707008361816
22,0.0166863692915981,0.016636339422024984,0.0005002983015264404,0.046363996819879044,0.34789735078811646,0.5139073133468628
23,0.015278525112146007,0.015231943512901372,0.00046581562487690495,0.04635573027591197,0.33785027265548706,0.5111035704612732
24,0.01441179510783536,0.014369082983902385,0.00042712127374564527,0.047497910032526486,0.3353772759437561,0.5134267807006836
25,0.013691003237376403,0.013646169804998137,0.0004483345272719947,0.047330726766857116,0.346005380153656,0.5155768394470215
