epoch,train_loss,train_bce,train_hierarchy_penalty,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.48647616022534024,0.48647616022534024,0.0,0.22845570163182305,0.4643503427505493,0.5156823992729187
2,0.3465580146756555,0.3465580146756555,0.0,0.2027147717606198,0.4930364787578583,0.5424097180366516
3,0.29350639256741395,0.29350639256741395,0.0,0.1981121435747575,0.4930686056613922,0.5485901832580566
4,0.25517500648669084,0.25517500648669084,0.0,0.1848146907703131,0.5144750475883484,0.5717284083366394
5,0.2223866086798354,0.2223866086798354,0.0,0.16551546197433523,0.5398781299591064,0.6000825762748718
6,0.19197542138550386,0.19197542138550386,0.0,0.16551994293596062,0.5368421673774719,0.5987088680267334
7,0.17076586858500548,0.17076586858500548,0.0,0.16222647705548515,0.5507835745811462,0.6145082712173462
8,0.15174081024813893,0.15174081024813893,0.0,0.15353798776695615,0.5719844698905945,0.622658371925354
9,0.13818574996184255,0.13818574996184255,0.0,0.1528228608358611,0.5689219832420349,0.6292621493339539
10,0.12276611443637157,0.12276611443637157,0.0,0.15381085211545997,0.5698531270027161,0.6259398460388184
11,0.11411880942662879,0.11411880942662879,0.0,0.15370618282977275,0.5719977021217346,0.6339595317840576
12,0.10479676517026047,0.10479676517026047,0.0,0.15499983963596273,0.5837458968162537,0.64462810754776
13,0.10166738109385466,0.10166738109385466,0.0,0.16540627301778604,0.5620157122612,0.6232069730758667
14,0.09253157266538085,0.09253157266538085,0.0,0.16050521866755618,0.5803640484809875,0.6411166787147522
15,0.08736630132803437,0.08736630132803437,0.0,0.16147034773304914,0.5803368091583252,0.6435544490814209
16,0.07965920461974715,0.07965920461974715,0.0,0.1664160705823161,0.579200267791748,0.6403083205223083
17,0.07214249872315062,0.07214249872315062,0.0,0.16240147881905836,0.5882333517074585,0.651288628578186
18,0.06944586722059631,0.06944586722059631,0.0,0.17340808519412587,0.5803017616271973,0.6475315690040588
19,0.06785147838212645,0.06785147838212645,0.0,0.17379629963766743,0.5821366310119629,0.6450952291488647
20,0.06226386429667519,0.06226386429667519,0.0,0.17596290117743188,0.5861122608184814,0.650602400302887
21,0.061894759851334614,0.061894759851334614,0.0,0.18156093591164732,0.580374538898468,0.6467251181602478
22,0.058164591530957266,0.058164591530957266,0.0,0.1844372443544019,0.5807568430900574,0.647624135017395
23,0.05433472278676326,0.05433472278676326,0.0,0.18771995176205855,0.58424311876297,0.6478431224822998
24,0.051513933772516576,0.051513933772516576,0.0,0.19021621194021623,0.5760142207145691,0.642043948173523
25,0.0497615532722415,0.0497615532722415,0.0,0.19092534457453222,0.582455575466156,0.6485756635665894
26,0.04453333755909379,0.04453333755909379,0.0,0.19850082301912822,0.5803442597389221,0.6467463374137878
27,0.043248548941755116,0.043248548941755116,0.0,0.19993066773938747,0.5783349871635437,0.6444444060325623
28,0.04153206906582805,0.04153206906582805,0.0,0.20459692558033044,0.5844188928604126,0.6515581011772156
29,0.039192795134000355,0.039192795134000355,0.0,0.20776853404910703,0.5862686038017273,0.6489884853363037
