epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,1.9496794445457584,1.6863550673086176,0.48068783068783066,0.3826081912105516,0.3826081912105516,0.47393991491694554
2,1.6094852908682995,1.5636341468366997,0.5224867724867724,0.4107721402934289,0.4107721402934289,0.5134709470282118
3,1.4341748261042082,1.5674081051791156,0.5232804232804232,0.42012302085908404,0.42012302085908404,0.5223214832803381
4,1.2851692178227498,1.5737398049188038,0.5238095238095238,0.43275915091825506,0.43275915091825506,0.5238488320644306
5,1.132806798166778,1.5620111964997792,0.5333333333333333,0.43626430598474775,0.43626430598474775,0.5299067247187415
6,0.9959885554269936,1.6167487572109889,0.5272486772486773,0.44200217011859233,0.44200217011859233,0.5292294304626823
7,0.8626811550050473,1.6159052318996854,0.5314814814814814,0.4386144782703331,0.4386144782703331,0.53537854067959
8,0.7429481141211502,1.646621139970406,0.5391534391534392,0.44435921134765755,0.44435921134765755,0.5370600176322963
9,0.6389781725562649,1.7409924676178625,0.5277777777777778,0.43657978371408734,0.43657978371408734,0.5227720717170713
10,0.5548418751932455,1.7227933157057989,0.5370370370370371,0.4387066996865429,0.4387066996865429,0.533412255080257
11,0.48543995849441296,1.7755564371744792,0.5380952380952381,0.44015627807180846,0.44015627807180846,0.5299730044278429
12,0.413847731884682,1.8449420404181909,0.5243386243386243,0.426066867564181,0.426066867564181,0.5200575117410402
13,0.3657263962790503,1.9258418845121192,0.5206349206349207,0.42606577402770224,0.42606577402770224,0.5161060090904831
14,0.32120915323289245,1.9222216850866085,0.5314814814814814,0.4354680908855924,0.4354680908855924,0.5274103721244455
15,0.2818039335468982,2.0056244291325727,0.5137566137566137,0.4249721344365204,0.4249721344365204,0.5105865334519691
16,0.25177830613192465,2.052232835154054,0.5124338624338625,0.43544231996401794,0.43544231996401794,0.5158202522976316
17,0.21714093061299164,2.1194612129655463,0.5134920634920634,0.4265540504771321,0.4265540504771321,0.5124850992537983
18,0.20943454768136244,2.161214147295271,0.5108465608465609,0.4212466126299568,0.4212466126299568,0.5091538464256352
19,0.1991715395582186,2.167505082251534,0.5177248677248677,0.42815640158444057,0.42815640158444057,0.5143008598210794
20,0.1964030612514138,2.20726512790357,0.5195767195767196,0.430021433466661,0.430021433466661,0.5184278822483434
