true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,0.6332417582417582,0.07692307692307693,0.020604395604395604,0.03983516483516483,0.009615384615384616,0.006868131868131868,0.016483516483516484,0.004120879120879121,0.0027472527472527475,0.005494505494505495,0.013736263736263736,0.009615384615384616,0.023351648351648352,0.0013736263736263737,0.0027472527472527475,0.028846153846153848,0.03296703296703297,0.054945054945054944,0.016483516483516484
techno,Techno,0.1447811447811448,0.5420875420875421,0.006734006734006734,0.10101010101010101,0.016835016835016835,0.0,0.02356902356902357,0.003367003367003367,0.003367003367003367,0.0,0.003367003367003367,0.003367003367003367,0.026936026936026935,0.08417508417508418,0.003367003367003367,0.003367003367003367,0.003367003367003367,0.010101010101010102,0.020202020202020204
electro,Electro,0.09090909090909091,0.10227272727272728,0.23863636363636365,0.05113636363636364,0.011363636363636364,0.005681818181818182,0.056818181818181816,0.005681818181818182,0.08522727272727272,0.011363636363636364,0.011363636363636364,0.03409090909090909,0.07386363636363637,0.022727272727272728,0.0,0.03409090909090909,0.05113636363636364,0.07386363636363637,0.03977272727272727
trance,Trance,0.05909090909090909,0.07954545454545454,0.006818181818181818,0.6977272727272728,0.01818181818181818,0.0,0.01818181818181818,0.0022727272727272726,0.0022727272727272726,0.0022727272727272726,0.0022727272727272726,0.03636363636363636,0.0,0.020454545454545454,0.0022727272727272726,0.004545454545454545,0.0022727272727272726,0.025,0.020454545454545454
drum_and_bass,Drum & Bass,0.016359918200409,0.018404907975460124,0.0081799591002045,0.010224948875255624,0.7402862985685071,0.00408997955010225,0.08588957055214724,0.00408997955010225,0.016359918200409,0.00408997955010225,0.006134969325153374,0.00408997955010225,0.018404907975460124,0.032719836400818,0.002044989775051125,0.018404907975460124,0.00408997955010225,0.0,0.006134969325153374
footwork,Footwork,0.0,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0
dubstep,Dubstep,0.04054054054054054,0.037162162162162164,0.037162162162162164,0.02364864864864865,0.057432432432432436,0.013513513513513514,0.5067567567567568,0.033783783783783786,0.06418918918918919,0.013513513513513514,0.037162162162162164,0.0033783783783783786,0.02027027027027027,0.0,0.013513513513513514,0.0472972972972973,0.033783783783783786,0.0033783783783783786,0.013513513513513514
future_bass,Future Bass,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.0,0.35185185185185186,0.05555555555555555,0.14814814814814814,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.018518518518518517
trap_edm,Trap (EDM),0.041379310344827586,0.006896551724137931,0.013793103448275862,0.0,0.07586206896551724,0.006896551724137931,0.1793103448275862,0.013793103448275862,0.3586206896551724,0.041379310344827586,0.041379310344827586,0.006896551724137931,0.05517241379310345,0.027586206896551724,0.006896551724137931,0.041379310344827586,0.06896551724137931,0.006896551724137931,0.006896551724137931
phonk,Phonk,0.0784313725490196,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.0392156862745098,0.5882352941176471,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0784313725490196,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549
