threshold,supported_macro_f1,micro_f1
0.1,0.31144357623166397,0.39387340837792956
0.11,0.31545349338739676,0.4
0.12,0.319055462638267,0.40563336686527895
0.13,0.3221757672539952,0.4104406886747749
0.14,0.325790633480435,0.415111039588027
0.15,0.32838155315273476,0.4189548635266195
0.16,0.33184419431399736,0.42361949149015854
0.17,0.33459126112280907,0.4279136569087145
0.18,0.33558775860115125,0.4314196286927068
0.19,0.33718251529881393,0.4343557216091754
0.2,0.34031705476310936,0.43819829330518173
0.21,0.3422129799925764,0.44155381325730575
0.22,0.34309809827922544,0.44400360685302076
0.23,0.3450454560202096,0.4471704136075516
0.24,0.34661519376625777,0.45006227799049686
0.25,0.347332877156992,0.4518777700023326
0.26,0.34882742617976303,0.4550384307068421
0.27,0.3506489693657341,0.45820817241214895
0.28,0.3504029806615005,0.4598055261384423
0.29,0.3513880927542369,0.46138142225246687
0.3,0.3519055034931448,0.46264776573306526
0.31,0.3540669709150135,0.464791522234327
0.32,0.35651200555410345,0.46796378732556393
0.33,0.3567361028137774,0.4702495201535509
0.34,0.35739478433801763,0.47191927428396696
0.35,0.3592359231315058,0.4743813533216963
0.36,0.35976811344922643,0.4758599254040613
0.37,0.3599913702846768,0.47744831906452284
0.38,0.3605356112932848,0.4793510324483776
0.39,0.36212616949194765,0.48193411264612107
0.4,0.36205846694271865,0.4830912696285975
0.41,0.3621592494144781,0.4848746758859118
0.42,0.3638284521495928,0.48733729099722234
0.43,0.36423773711896895,0.4891035845638689
0.44,0.3642189273098696,0.489854591695693
0.45,0.36294350661922675,0.4908159857508627
0.46,0.3637069829770089,0.49209552640430543
0.47,0.36454357697858786,0.49404324995765336
0.48,0.3643544253677609,0.4948254293187763
0.49,0.36599300684982194,0.49662278191184883
0.5,0.3679728075587863,0.4990766389658356
0.51,0.3683734739035787,0.5006680996920931
0.52,0.3669032644079282,0.5012575305609172
0.53,0.36743658242455823,0.5027406141333176
0.54,0.3670672958789637,0.5033497361712219
0.55,0.3650439467804,0.5037894611207256
0.56,0.3649539635673841,0.504749308644944
0.57,0.3649763144026228,0.5059978189749182
0.58,0.3647033098952078,0.5068309343742377
0.59,0.36421951875294134,0.5078916661548855
0.6,0.36456701384644846,0.5094911271872874
0.61,0.364906170542496,0.5101239798143418
0.62,0.36385397004340586,0.5106516684471816
0.63,0.36385885265470314,0.5115661736822146
0.64,0.3633191418949496,0.512243210583222
0.65,0.3639549308106337,0.5142380708055413
0.66,0.36300618055874984,0.5148284551269625
0.67,0.3633382540978638,0.5161835434810866
0.68,0.3632680258897494,0.5173204112369852
0.69,0.3632769527939535,0.5172595520421608
0.7,0.3618301513693681,0.5171521465065357
0.71,0.3616053392503278,0.5177319174514127
0.72,0.36102407542543946,0.5179904499293833
0.73,0.3602009958284762,0.5172320583862683
0.74,0.3593982884305808,0.5171309856276821
0.75,0.3586501835613678,0.5166117517847336
0.76,0.3577086556021842,0.5176828846286939
0.77,0.3568874551344958,0.5182242664994076
0.78,0.35452900948048965,0.5179876335019674
0.79,0.3546293230798439,0.5187074829931972
0.8,0.35346074235514013,0.519222523938831
0.81,0.35116975962463615,0.5182729042024076
0.82,0.34948376710355517,0.517570025463805
0.83,0.3477367330380552,0.5165981198589895
0.84,0.3459405573219223,0.5154593312078297
0.85,0.34450831649602,0.5147654024883825
0.86,0.3417848213208505,0.5136098263704603
0.87,0.33866107158329106,0.5122119286425235
0.88,0.3333107666502978,0.5092850510677808
0.89,0.32986580239917757,0.5065810090880601
0.9,0.32709609103680254,0.5038083148206918
