threshold,supported_macro_f1,micro_f1
0.1,0.31241422528010443,0.3964635063957863
0.11,0.31654181863440517,0.4028211353913747
0.12,0.3200604463280422,0.4083724230359888
0.13,0.3230495750361314,0.4129385259092372
0.14,0.3265869100261696,0.4174761260707405
0.15,0.329128854533952,0.4214738246082027
0.16,0.33254471343657044,0.42593220338983057
0.17,0.33519403904570333,0.4299595837991228
0.18,0.33613875951799865,0.43335951819848134
0.19,0.3377891919372231,0.4364714209874359
0.2,0.3407222280807256,0.4400447928331467
0.21,0.34254448354542494,0.44342618637147263
0.22,0.3434767245888363,0.4460365573619914
0.23,0.34551625796725993,0.44916159598680844
0.24,0.34702866244950803,0.45185846529768336
0.25,0.3478517709976339,0.4540314534137882
0.26,0.34932371270010026,0.457033125300048
0.27,0.35123406450825373,0.4602010587149725
0.28,0.35094338483062437,0.46166666666666667
0.29,0.35203657055079896,0.46347257968719063
0.3,0.3526536736761754,0.46498151663502846
0.31,0.35481832540998226,0.46713046985279294
0.32,0.3571905572688673,0.4702047468676785
0.33,0.3575188569793064,0.4725851249871412
0.34,0.35820366751899346,0.4742631797426318
0.35,0.36001107808126925,0.4766785191382556
0.36,0.3605201727166467,0.47799936688825573
0.37,0.36066713031868125,0.4790813885492531
0.38,0.36118776112659834,0.4810384594754063
0.39,0.36269589582672046,0.4836318381039987
0.4,0.36264407445069247,0.48477240475930566
0.41,0.36257888032288954,0.4863021234459236
0.42,0.3643162220402097,0.4889924028170576
0.43,0.36479690552045885,0.4905554934614955
0.44,0.3648061316237594,0.4914472203466127
0.45,0.36359383480129176,0.49260581336053033
0.46,0.3644029410556603,0.49392296718972895
0.47,0.3651791379908914,0.4955742039314863
0.48,0.3650259756810476,0.49643911759597004
0.49,0.3666219649265642,0.49810572943987863
0.5,0.36845549553764645,0.4999412386884474
0.51,0.368676369446509,0.5010944802697747
0.52,0.3671577660315569,0.5014591150020845
0.53,0.3676885734569537,0.5029401176047041
0.54,0.36730704775823037,0.5034407823252445
0.55,0.36535008957357157,0.503918828604411
0.56,0.36522813012685984,0.504834169624281
0.57,0.3651801635904077,0.5057953144266337
0.58,0.36485824342115375,0.5064830324461815
0.59,0.3643560736013722,0.5070281751733617
0.6,0.3646368812815785,0.5084255533199195
0.61,0.3648664302793735,0.5086141373194831
0.62,0.3638304835065907,0.5091327117128625
0.63,0.36379890276970833,0.5097333761644716
0.64,0.36333590698061213,0.5107290589451914
0.65,0.3639026223737935,0.5125333680578162
0.66,0.3630018874194704,0.5128877812028596
0.67,0.3632586450468312,0.5142216062825842
0.68,0.36320509855257105,0.5149923542317665
0.69,0.36322283891015733,0.5149508328316276
0.7,0.3617367992756413,0.5151331311088643
0.71,0.36150277575151857,0.5155730474316347
0.72,0.3609144260060983,0.5157808443776473
0.73,0.36002956652064694,0.5150037766943625
0.74,0.35927875089018696,0.5149501661129567
0.75,0.3584157476661969,0.5139150449884914
0.76,0.3574160669658632,0.5148681898066784
0.77,0.3565852952223951,0.5157179269328803
0.78,0.35427088105605814,0.5153741884854106
0.79,0.3542339899887084,0.5155395683453237
0.8,0.35291628593780666,0.5154549412276883
0.81,0.3506909951421349,0.5143819073409939
0.82,0.34885583033115847,0.5132521225544481
0.83,0.34695034491368654,0.5117353401385888
0.84,0.3449113109424895,0.5096681965239636
0.85,0.34345260349782414,0.509005243559541
0.86,0.3404590901643787,0.5068429955405198
0.87,0.33723103977400726,0.5048543689320389
0.88,0.3318267680170092,0.5016874656620359
0.89,0.32844041390657797,0.49936427209154477
0.9,0.32572285273158974,0.4964196636897579
