epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,2.0534351116656024,1.697659364326921,0.4843915343915344,0.3696782492788958,0.3696782492788958,0.47209778686264603
2,1.5966561342149557,1.6191561381022135,0.5,0.40668557473134137,0.40668557473134137,0.5033868430086399
3,1.4172663391511968,1.5722267271980406,0.5153439153439153,0.4216186075844162,0.4216186075844162,0.5112083908182543
4,1.2772464744237952,1.5586347287294096,0.5182539682539683,0.42235436143860017,0.42235436143860017,0.513591920864242
5,1.1605482737867128,1.578241546065719,0.5193121693121693,0.4203544842902261,0.4203544842902261,0.5192503682136456
6,1.0549931624773443,1.5783425588456412,0.5148148148148148,0.42833990140492956,0.42833990140492956,0.5131908659606167
7,0.9603933369520139,1.5729484356269634,0.5248677248677248,0.43293533717543337,0.43293533717543337,0.526514143833114
8,0.8785451213653203,1.586603156599418,0.5206349206349207,0.42945885434068165,0.42945885434068165,0.5214770841145889
9,0.8044394903474613,1.6238636662720372,0.5253968253968254,0.42626973231024756,0.42626973231024756,0.5167074969031892
10,0.7254766036277037,1.6326639669912832,0.5277777777777778,0.44486202235264294,0.44486202235264294,0.5320378009377427
11,0.6688012568235164,1.6623990376790365,0.5338624338624338,0.4369652050999826,0.4369652050999826,0.5287371150745251
12,0.6209778018109384,1.7035472446017794,0.5261904761904762,0.4342645031346267,0.4342645031346267,0.5238491771237355
13,0.5924000490606388,1.6896680256677052,0.5325396825396825,0.43797232769793115,0.43797232769793115,0.5303950715477179
14,0.5466950108199916,1.7603341299390036,0.5232804232804232,0.43309266686256803,0.43309266686256803,0.5228817352653838
15,0.5136360332620523,1.7670630036207733,0.5261904761904762,0.4355617219958099,0.4355617219958099,0.5227114865624508
16,0.4785951101258868,1.786097503339172,0.5264550264550265,0.4428421476212348,0.4428421476212348,0.526105814928157
17,0.4548355382929754,1.8298971630278087,0.5238095238095238,0.42895829085521386,0.42895829085521386,0.5207109850397715
18,0.42085479848968327,1.8401584060103804,0.5304232804232805,0.44718180102495486,0.44718180102495486,0.5283960868403037
19,0.39671689568013335,1.9038278044846955,0.5174603174603175,0.4315906723141058,0.4315906723141058,0.5149724800586535
20,0.36484641146067676,1.946214768747804,0.5280423280423281,0.4394684688982869,0.4394684688982869,0.523590547267872
21,0.3620768742284144,1.9498576250025834,0.5280423280423281,0.4385931762321868,0.4385931762321868,0.5208084497189805
22,0.339753284754571,1.9866094680059523,0.5378306878306879,0.4382351010109408,0.4382351010109408,0.5293325875941534
23,0.3183517545066342,2.0373979033616485,0.5193121693121693,0.4296583190320813,0.4296583190320813,0.5137433112840998
24,0.2964617956287447,2.084670693533761,0.5312169312169313,0.4353793479098855,0.4353793479098855,0.5249906161375912
25,0.2928839296826821,2.090307169111948,0.5277777777777778,0.4310402391985033,0.4310402391985033,0.5197837928626875
26,0.26697984334622976,2.0859598371717665,0.5354497354497354,0.4392697652529553,0.4392697652529553,0.5288904844405483
27,0.27051196444663894,2.1271847719868653,0.523015873015873,0.4387722952392776,0.4387722952392776,0.518112678595604
28,0.2575534013710431,2.17927291103141,0.5365079365079365,0.43550039993721595,0.43550039993721595,0.5225745824257088
29,0.24748463041236052,2.1801229567754836,0.5312169312169313,0.4354913901413779,0.4354913901413779,0.5243697845649339
30,0.23300794197574257,2.299253829067977,0.5203703703703704,0.4232894705823898,0.4232894705823898,0.5109538932393799
