true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,0.6016483516483516,0.07005494505494506,0.024725274725274724,0.04945054945054945,0.006868131868131868,0.006868131868131868,0.028846153846153848,0.0013736263736263737,0.013736263736263736,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.03571428571428571,0.005494505494505495,0.005494505494505495,0.03983516483516483,0.020604395604395604,0.046703296703296704,0.01510989010989011
techno,Techno,0.15488215488215487,0.5723905723905723,0.006734006734006734,0.08417508417508418,0.020202020202020204,0.010101010101010102,0.013468013468013467,0.003367003367003367,0.0,0.0,0.006734006734006734,0.020202020202020204,0.030303030303030304,0.04713804713804714,0.010101010101010102,0.003367003367003367,0.0,0.010101010101010102,0.006734006734006734
electro,Electro,0.11363636363636363,0.07386363636363637,0.3125,0.03977272727272727,0.005681818181818182,0.005681818181818182,0.045454545454545456,0.022727272727272728,0.07386363636363637,0.0,0.017045454545454544,0.03409090909090909,0.09090909090909091,0.022727272727272728,0.0,0.03409090909090909,0.022727272727272728,0.06818181818181818,0.017045454545454544
trance,Trance,0.05454545454545454,0.05454545454545454,0.01818181818181818,0.7318181818181818,0.011363636363636364,0.0,0.011363636363636364,0.0022727272727272726,0.0022727272727272726,0.004545454545454545,0.004545454545454545,0.03636363636363636,0.0022727272727272726,0.011363636363636364,0.004545454545454545,0.0022727272727272726,0.004545454545454545,0.025,0.01818181818181818
drum_and_bass,Drum & Bass,0.014314928425357873,0.022494887525562373,0.006134969325153374,0.010224948875255624,0.7484662576687117,0.012269938650306749,0.06134969325153374,0.0081799591002045,0.02044989775051125,0.0,0.002044989775051125,0.014314928425357873,0.0081799591002045,0.026584867075664622,0.006134969325153374,0.022494887525562373,0.0081799591002045,0.00408997955010225,0.00408997955010225
footwork,Footwork,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0
dubstep,Dubstep,0.05067567567567568,0.013513513513513514,0.057432432432432436,0.02027027027027027,0.07432432432432433,0.006756756756756757,0.43243243243243246,0.04054054054054054,0.125,0.006756756756756757,0.006756756756756757,0.02027027027027027,0.02364864864864865,0.010135135135135136,0.04054054054054054,0.04391891891891892,0.006756756756756757,0.010135135135135136,0.010135135135135136
future_bass,Future Bass,0.018518518518518517,0.0,0.018518518518518517,0.0,0.037037037037037035,0.0,0.35185185185185186,0.16666666666666666,0.16666666666666666,0.0,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.0,0.05555555555555555,0.0,0.037037037037037035,0.05555555555555555
trap_edm,Trap (EDM),0.04827586206896552,0.0,0.034482758620689655,0.006896551724137931,0.07586206896551724,0.0,0.14482758620689656,0.027586206896551724,0.4413793103448276,0.041379310344827586,0.05517241379310345,0.041379310344827586,0.006896551724137931,0.006896551724137931,0.020689655172413793,0.027586206896551724,0.013793103448275862,0.006896551724137931,0.0
phonk,Phonk,0.09803921568627451,0.0,0.0392156862745098,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0784313725490196,0.6274509803921569,0.0196078431372549,0.0196078431372549,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0196078431372549
midtempo,Midtempo,0.13861386138613863,0.009900990099009901,0.0297029702970297,0.019801980198019802,0.1485148514851485,0.009900990099009901,0.15841584158415842,0.019801980198019802,0.12871287128712872,0.0297029702970297,0.0891089108910891,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.019801980198019802,0.10891089108910891,0.0,0.009900990099009901,0.039603960396039604
breakbeat,Breakbeat,0.08256880733944955,0.027522935779816515,0.09174311926605505,0.027522935779816515,0.11009174311926606,0.009174311926605505,0.045871559633027525,0.009174311926605505,0.045871559633027525,0.009174311926605505,0.009174311926605505,0.3119266055045872,0.027522935779816515,0.07339449541284404,0.0,0.045871559633027525,0.009174311926605505,0.03669724770642202,0.027522935779816515
uk_garage,UK Garage,0.18888888888888888,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.07777777777777778,0.044444444444444446,0.1,0.0,0.022222222222222223,0.011111111111111112,0.0,0.011111111111111112,0.26666666666666666,0.0,0.011111111111111112,0.011111111111111112,0.03333333333333333,0.05555555555555555,0.03333333333333333
hardcore,Hardcore,0.0,0.04119850187265917,0.00749063670411985,0.0299625468164794,0.0749063670411985,0.003745318352059925,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.0,0.00749063670411985,0.00749063670411985,0.7378277153558053,0.04868913857677903,0.003745318352059925,0.003745318352059925,0.0,0.0
hardstyle,Hardstyle,0.008928571428571428,0.0,0.0,0.026785714285714284,0.03571428571428571,0.008928571428571428,0.008928571428571428,0.0,0.03571428571428571,0.0,0.0,0.0,0.008928571428571428,0.29464285714285715,0.5714285714285714,0.0,0.0,0.0,0.0
moombahton,Moombahton,0.07643312101910828,0.03184713375796178,0.08280254777070063,0.01910828025477707,0.01910828025477707,0.012738853503184714,0.03184713375796178,0.006369426751592357,0.044585987261146494,0.012738853503184714,0.006369426751592357,0.006369426751592357,0.012738853503184714,0.012738853503184714,0.006369426751592357,0.5668789808917197,0.044585987261146494,0.006369426751592357,0.0
amapiano,Amapiano,0.18518518518518517,0.0,0.06172839506172839,0.0,0.037037037037037035,0.0,0.012345679012345678,0.037037037037037035,0.024691358024691357,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.07407407407407407,0.4691358024691358,0.07407407407407407,0.012345679012345678
nu_disco,Nu-Disco,0.25833333333333336,0.0,0.025,0.041666666666666664,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.041666666666666664,0.0,0.5166666666666667,0.09166666666666666
