threshold,supported_macro_f1,micro_f1
0.1,0.4505642149209911,0.5250202429149797
0.11,0.45872481175291463,0.5329247080261741
0.12,0.4633724665900157,0.538805844101005
0.13,0.4687516957426392,0.5447336666092053
0.14,0.4724409909722392,0.5488958990536278
0.15,0.4770159383339956,0.5538270068450529
0.16,0.4817374160407441,0.5591766723842195
0.17,0.4871006048292606,0.5637927878455061
0.18,0.49166572491171673,0.5678783382789319
0.19,0.49444231015309587,0.5705705705705706
0.2,0.49745764925031954,0.5734027449124468
0.21,0.4989770572832392,0.5770040176009184
0.22,0.50280131901436,0.5805203598026888
0.23,0.505704946762872,0.5832600839925774
0.24,0.5063214486299401,0.5856397124002759
0.25,0.5083537462271257,0.5879317189360858
0.26,0.5113412349545174,0.5902722177742195
0.27,0.5129951426790851,0.5917028363783183
0.28,0.5139227971703814,0.5935405240706887
0.29,0.5160045660749947,0.5958883092973305
0.3,0.5173206495311915,0.5969104016477859
0.31,0.5191708586114302,0.5985674244783558
0.32,0.5211679418591609,0.6007946465913843
0.33,0.5218727348765069,0.6014736842105263
0.34,0.5233350997132952,0.6031577831938115
0.35,0.5264789101446911,0.6054908663604316
0.36,0.5265589399635711,0.6056823073611708
0.37,0.526529583352309,0.6069920987119818
0.38,0.5276529093587669,0.6082889154791691
0.39,0.5296493835598047,0.6104479246522835
0.4,0.530815871076546,0.6127180393022743
0.41,0.5316492508667272,0.615179167594035
0.42,0.5322164811821469,0.6160564326503192
0.43,0.5334738348617847,0.6174814147330479
0.44,0.5340044196760877,0.6177903682719547
0.45,0.5343212595306144,0.6187165165849767
0.46,0.5354129327630915,0.6200252322514049
0.47,0.5365658542819634,0.6216278533548536
0.48,0.537895966159764,0.6225518600069533
0.49,0.5398686095613127,0.6238639011885342
0.5,0.5404498125541495,0.6241799437675726
0.51,0.5426117847807626,0.6253680367447886
0.52,0.5432772860383446,0.6258438943503494
0.53,0.5416972940293705,0.6259959567130456
0.54,0.5420120784844602,0.6256729273836583
0.55,0.5416691944504698,0.625645956014902
0.56,0.5420321817465608,0.6266457301606474
0.57,0.5409345624181021,0.6258800679776646
0.58,0.5404880496553354,0.6258553274682307
0.59,0.5412216377005424,0.6266601082144614
0.6,0.539923139492051,0.6267771047101003
0.61,0.5404175625062836,0.6268210683601045
0.62,0.5412665442415163,0.6275836151822624
0.63,0.54192209347627,0.6277721774193549
0.64,0.5398603699215722,0.6267748478701826
0.65,0.5380059428298032,0.6265274949083502
0.66,0.5360789499988916,0.6255122950819672
0.67,0.5341625323534968,0.6242595930981201
0.68,0.5349700639207553,0.6242219917012449
0.69,0.5337538451833891,0.6236615304256986
0.7,0.5329293980593771,0.6227356261485955
0.71,0.5311179221586575,0.6219463884854086
0.72,0.529983525188728,0.6215964935582414
0.73,0.5310604261172465,0.6222757053081963
0.74,0.5324170798525314,0.6226643366043824
0.75,0.5336069177258631,0.6239697338197541
0.76,0.531329575054889,0.6228392541173269
0.77,0.5278855029376073,0.6212474297464017
0.78,0.526551741984604,0.6194543951501792
0.79,0.5243156139143358,0.6176266481609994
0.8,0.521134884120125,0.6152984029139815
0.81,0.5200322110597964,0.6132806992809813
0.82,0.5148189095878551,0.6105113636363636
0.83,0.513623826573586,0.6098014002000286
0.84,0.510132552457328,0.6076313894888409
0.85,0.5055747199065856,0.6046444121915819
0.86,0.5028975542676193,0.602723678430224
0.87,0.49701099460169734,0.5978100029594555
0.88,0.4932985795545202,0.5932785660941001
0.89,0.4864290800880736,0.5880223261427062
0.9,0.4759225005093317,0.5798075454406598
