task,split,model,v1_classes,unified_classes,v1_threshold,unified_threshold,v1_macro_f1,unified_macro_f1,delta_macro_f1,pct_macro_f1,v1_parent_macro_f1,unified_parent_macro_f1,delta_parent_macro_f1,v1_leaf_macro_f1,unified_leaf_macro_f1,delta_leaf_macro_f1,v1_micro_f1,unified_micro_f1,delta_micro_f1,pct_micro_f1,v1_subset_accuracy,unified_subset_accuracy,delta_subset_accuracy,v1_hamming_loss,unified_hamming_loss,delta_hamming_loss
full,regular,linear,150,145,0.59,0.64,0.4227986619567705,0.40095305094032535,-0.021845611016445166,-5.166906374618279,,0.5295907927346183,,,0.37852995833398073,,0.51776,0.48334103054694205,-0.034418969453057946,-6.647668698442897,0.12871287128712872,0.10772104607721046,-0.020991825209918255,0.015303376491495303,0.01681410228883068,0.0015107257973353758
full,regular,mlp,150,145,0.53,0.6,0.478429943855441,0.4274423244932916,-0.050987619362149406,-10.657280134112062,0.5838275173202582,0.5588826489592736,-0.02494486836098453,0.46240951268878877,0.4045307083019736,-0.0578788043868152,0.5411871592973955,0.5086482171367749,-0.03253894216062059,-6.012511864262406,0.12185833968012186,0.12484433374844334,0.002985994068321479,0.015384615384615385,0.01585863357237944,0.00047401818776405397
full,regular,hierarchical_mlp,150,145,0.48,0.56,0.4821357864134453,0.42549955582049104,-0.05663623059295425,-11.74694602412007,0.6019979941199677,0.5577339707720576,-0.04426402334791013,0.4639167308420539,0.4024495201867317,-0.061467210655322235,0.5558981015739088,0.5017977381185853,-0.05410036345532354,-9.732064797873877,0.16298552932216298,0.12235367372353674,-0.04063185559862624,0.013896928154353897,0.016363206939494137,0.00246627878514024
full,artist,linear,150,145,0.56,0.65,0.321180069212992,0.3548506946514095,0.03367062543841748,10.48341060543475,,0.5328572037682915,,,0.32800844327664147,,0.45114492959749675,0.48985924858694446,0.038714318989447716,8.581348575498327,0.08248125426039536,0.1233217304823471,0.040840476221951735,0.01753692342649398,0.01578559303143058,-0.0017513303950633975
full,artist,mlp,150,145,0.5,0.5,0.36463466052086985,0.37408140372070914,0.009446743199839291,2.5907419734440214,0.5740850661337881,0.5557962363943337,-0.018288829739454338,0.3340226781620587,0.34667996069849594,0.01265728253643722,0.5169882192248592,0.5063305197689916,-0.010657699455867586,-2.0614975466650085,0.1608725289706885,0.13326703132769765,-0.027605497642990834,0.01285616905248807,0.015243745606063204,0.0023875765535751343
full,artist,hierarchical_mlp,150,145,0.47,0.51,0.3771479835058779,0.3773943024858215,0.00024631897994359386,0.06531096299491548,0.546615638656021,0.5538073905906096,0.007191751934588542,0.35237963390701094,0.3507923288827185,-0.0015873050242924402,0.49625605637938625,0.517467248908297,0.02121119252891074,4.274243559597959,0.1336059986366735,0.1573843858776728,0.023778387240999316,0.015591910929334242,0.014400109741250708,-0.0011918011880835341
parent,regular,mlp,19,19,0.68,0.51,0.6388722583157562,0.574339866988478,-0.06453239132727817,-10.100985054101955,0.6388722583157562,0.574339866988478,-0.06453239132727817,,,,0.6916024935826915,0.6418552978752952,-0.049747195707396386,-7.193033016652702,0.571972581873572,0.5121419676214197,-0.0598306142521523,0.033711468312823185,0.04225929081732975,0.008547822504506565
parent,artist,mlp,19,19,0.62,0.66,0.5877399520788141,0.5789591433200972,-0.008780808758716896,-1.4939955549490052,0.5877399520788141,0.5789591433200972,-0.008780808758716896,,,,0.6507731958762887,0.6622858483923961,0.011512652516107447,1.7690729410889858,0.5255623721881391,0.5504724017901541,0.02491002960201505,0.038890682739568756,0.037661283990682824,-0.001229398748885932
