threshold,supported_macro_f1,micro_f1
0.1,0.32667993872222445,0.3674440742503569
0.11,0.3344307718604951,0.3763043407150567
0.12,0.3398727107452533,0.383361892282364
0.13,0.3461619433272483,0.3908871246116673
0.14,0.35094723041176074,0.3964707958355391
0.15,0.35728873478525813,0.4038433752347927
0.16,0.3615721643334414,0.4097309251750829
0.17,0.36707596741903004,0.4161532682193839
0.18,0.3708193038557203,0.42082728037311723
0.19,0.3739570047981473,0.42526724975704566
0.2,0.3773743271336731,0.4299893234212503
0.21,0.3810363117479428,0.4350275665016701
0.22,0.38480071630420154,0.4393747704362731
0.23,0.3885850628654716,0.4436441905708018
0.24,0.3908852143274868,0.4475242534962833
0.25,0.3951488091211317,0.4516486325296072
0.26,0.39739373242659287,0.4546473529918951
0.27,0.39974620205992856,0.45839160839160836
0.28,0.4027130454637948,0.4621577387534835
0.29,0.4052103150283228,0.4655535162719907
0.3,0.4065646158172029,0.4690787087413856
0.31,0.40749014112267984,0.47122483606181503
0.32,0.40901756544860324,0.47396219421793917
0.33,0.41149733867128174,0.4772705970568939
0.34,0.413740038768856,0.48000000000000004
0.35,0.4160346309502896,0.48313425704730045
0.36,0.41707365244010425,0.485401283721828
0.37,0.4184277236341626,0.4879832301467363
0.38,0.42006802514878866,0.490623615691293
0.39,0.4216208798429319,0.4935374826009147
0.4,0.42398082034959267,0.496436100793093
0.41,0.4254230433602232,0.49939197405755975
0.42,0.4269506440385448,0.5019471203115392
0.43,0.4280456803119005,0.5043235126598664
0.44,0.428686394347342,0.5060883198327673
0.45,0.4296421126807735,0.5082563967290953
0.46,0.43036887600516266,0.5099563411777233
0.47,0.42951790683841695,0.5110657498925656
0.48,0.43006461006813324,0.5125900254508041
0.49,0.43042658692794633,0.5141298417894162
0.5,0.4317418588863425,0.5163492238247275
0.51,0.43226096608936415,0.5176718637296788
0.52,0.4323943059084393,0.518751051067885
0.53,0.4313654236861508,0.5191287665049091
0.54,0.43171761805161024,0.5204435598521467
0.55,0.43309156033726964,0.5227064220183486
0.56,0.4339561854892363,0.5248842592592593
0.57,0.4330652921122773,0.5258917625080274
0.58,0.4323888974734441,0.5268551236749117
0.59,0.4329888671718818,0.5285442435775451
0.6,0.4313358503792171,0.5288998259408199
0.61,0.43261643991431686,0.5313295358138408
0.62,0.43360027064532114,0.5327949094468918
0.63,0.4323614354490085,0.5333168653121719
0.64,0.43270826987363664,0.5346213773761297
0.65,0.43120562732131934,0.535427135678392
0.66,0.43102486319828126,0.5364556962025315
0.67,0.42909057059851596,0.5360995850622406
0.68,0.4308149698110457,0.5387092618832925
0.69,0.42933885372346714,0.5392819979188346
0.7,0.42929550547526785,0.5406221288883055
0.71,0.42920317135246594,0.5421886392258236
0.72,0.42654862126310994,0.5412095263580412
0.73,0.4239604311739182,0.5407267324057814
0.74,0.4217972826768114,0.5404446869458464
0.75,0.41981723033717866,0.5402314687241664
0.76,0.4184191345557783,0.5404278966379549
0.77,0.4178430368420204,0.5416520457575971
0.78,0.41548937960264937,0.5405175469691599
0.79,0.4149958836121975,0.540849906996709
0.8,0.41311603162101806,0.5395193977996525
0.81,0.4110639091642515,0.5388836052381301
0.82,0.40743023551621904,0.5376264677645669
0.83,0.40319851371751747,0.5373178931639895
0.84,0.39951300330627154,0.5353260869565217
0.85,0.3972932516024124,0.5339546253151018
0.86,0.39264321036957467,0.531757070004636
0.87,0.3886525244126117,0.5300751879699248
0.88,0.38207294560260757,0.5269090331798699
0.89,0.3773484283090344,0.5247804013216213
0.9,0.3704053407778086,0.5211833155781366
