epoch,train_loss,train_bce,train_hierarchy_penalty,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.2659082684361404,0.2656296572764758,0.0027861043613066285,0.08894984762617095,0.36053287982940674,0.4173603951931
2,0.16667973899993652,0.16651564613675549,0.0016409299810598646,0.0819269525764271,0.37869465351104736,0.4300053119659424
3,0.1411611686471487,0.14099684474688015,0.001643243737513417,0.07538433002318552,0.3872617185115814,0.4471565783023834
4,0.12234733002732774,0.12218428849895271,0.0016304187209731558,0.0701158882348658,0.4012162685394287,0.46327075362205505
5,0.10636863106295501,0.10621278911369175,0.0015584213300314544,0.06567080583757179,0.4082513749599457,0.47468680143356323
6,0.09317149569432194,0.09302264709758022,0.00148848614153669,0.06395546523358604,0.4145025610923767,0.48009905219078064
7,0.08294431870266346,0.08280327841773052,0.001410399199750306,0.06122258378495745,0.4156746566295624,0.4890683591365814
8,0.07413492850662624,0.07399822645853697,0.0013670205718713652,0.05861286722641375,0.41868171095848083,0.49478867650032043
9,0.0679950342168684,0.06786798910589607,0.0012704468240100288,0.05779501064313619,0.4248000681400299,0.5020484328269958
10,0.06206271453308946,0.0619418342315258,0.001208803689472048,0.05589871173508802,0.42489027976989746,0.5087893009185791
11,0.05652662652099735,0.05640948597894198,0.0011714050173773974,0.056591331897825566,0.42632097005844116,0.5099108815193176
12,0.05217475560949159,0.05206689226646393,0.0010786357978810992,0.056428846837705264,0.4318684935569763,0.5157162547111511
13,0.048972687444002364,0.04886277137922356,0.0010991592398003327,0.05689013809531871,0.42456838488578796,0.511694073677063
14,0.045198106884127294,0.04509667734851583,0.0010142962850513732,0.057025149181011474,0.42703184485435486,0.5216015577316284
15,0.042409187183509806,0.04231023843984606,0.00098948679536887,0.05637094542985762,0.4287315607070923,0.5226836204528809
16,0.03983687316996082,0.039743057234497385,0.0009381583200184226,0.05675028718921599,0.4263395369052887,0.5235754251480103
17,0.03788540505211277,0.03779553052168295,0.0008987451503810964,0.05649769004065275,0.4259249269962311,0.5262435078620911
18,0.035948618030748745,0.0358554040276511,0.0009321391448937516,0.057581410838699346,0.42469322681427,0.5264146327972412
19,0.034209165244024266,0.0341216073837603,0.0008755806823127766,0.05777922312070839,0.42408931255340576,0.5270907878875732
20,0.032545306489276817,0.0324611382022341,0.0008416825751751878,0.05859951797700119,0.4197200834751129,0.52878737449646
21,0.03099003477144119,0.030908315292785482,0.000817193235075459,0.058954882015322896,0.41657352447509766,0.5263158082962036
22,0.029331890764704074,0.02925094171341337,0.0008094898017965473,0.05996545128421944,0.40898165106773376,0.5256971120834351
23,0.027936173315696797,0.027860069159018615,0.0007610413879405399,0.06127942823971954,0.41760462522506714,0.5273120999336243
24,0.02815451854641798,0.02807995198190161,0.0007456658206348716,0.06110083039144847,0.4181469678878784,0.530156135559082
