epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,1.3080921149671902,1.3438294638506314,0.6255060728744939,0.513976574859826,0.5410279735366589,0.6048732273269208
2,0.9674613146290757,1.2907344300737265,0.638663967611336,0.5414579923660539,0.5699557814379514,0.6173329178038917
3,0.8250269421355526,1.3486748784177216,0.6277834008097166,0.5362418861170257,0.5644651432810798,0.609886200786615
4,0.6967773448056467,1.3847526905507694,0.6204453441295547,0.5171757580636789,0.5443955348038725,0.5989371889805039
5,0.582715456575452,1.4943582056022366,0.6141194331983806,0.5269940759880605,0.5536509841709678,0.5973766825121347
6,0.48396924998079777,1.4995897540196717,0.6166497975708503,0.5338731396359625,0.5613996435527294,0.6021056271015295
7,0.3988177570669396,1.6058558220805428,0.6133603238866396,0.5287403202903662,0.555980695865778,0.597182115234803
8,0.33381408905707766,1.6381745319134793,0.6138663967611336,0.5253111305296402,0.5518794626357886,0.6000154671977775
9,0.2771624244565071,1.7335156004438517,0.6146255060728745,0.5226201866167418,0.5495481432287277,0.5963805077292399
10,0.22339834504079603,1.8262789104631556,0.6108299595141701,0.5154323687415391,0.5425603881489885,0.59238489749859
11,0.17661530053718508,1.9448380721242804,0.6186740890688259,0.5237834765219839,0.5507789455380151,0.5975707801952339
12,0.1519431303157524,1.9779965674828903,0.6169028340080972,0.5241163908765585,0.5511474474600893,0.5985575774075228
13,0.12933344501568383,2.0857842982056654,0.6191801619433198,0.5335435484263249,0.5616247878171841,0.599901628284921
14,0.11070102641515053,2.1278233161339393,0.6115890688259109,0.524852074075955,0.5519129628607014,0.5937897693082318
