threshold,macro_f1,micro_f1
0.1,0.061520745512321555,0.06504702194357367
0.11,0.0683827526788973,0.0758295211071863
0.12,0.07654016274845944,0.08814548415552692
0.13,0.08530554317978525,0.1011107158385707
0.14,0.0950415446909777,0.11483384097831521
0.15,0.1056205781058856,0.1291742169298473
0.16,0.11633897021528872,0.1432450582498759
0.17,0.12718102752375454,0.15721205422450504
0.18,0.13897306470245294,0.17168923530045616
0.19,0.1512826791072717,0.18630266315251173
0.2,0.16331058477061905,0.20035977385643308
0.21,0.17478181349816987,0.21414647730437206
0.22,0.18710401638554355,0.22864559932105238
0.23,0.19757164889294068,0.24137377627989087
0.24,0.20743788523916498,0.2531011721861841
0.25,0.2179039203661243,0.26574862595880894
0.26,0.22803405818450387,0.2774485439367871
0.27,0.2383126986168211,0.28908396435033173
0.28,0.2491442873077395,0.3006756756756757
0.29,0.25895355382380186,0.31219945254124437
0.3,0.2690963430461084,0.3229439901249807
0.31,0.279079750565138,0.33373600708705803
0.32,0.289194788697088,0.3441509433962264
0.33,0.2986581436801887,0.35397460427900507
0.34,0.3060320326474147,0.36291700386655873
0.35,0.3132158999663241,0.3712374581939799
0.36,0.31947099054781064,0.3788125059757147
0.37,0.3247397544256959,0.3858375833660259
0.38,0.32876571649551145,0.39192734611503527
0.39,0.3369115623769377,0.40033239846265706
0.4,0.3422602426037191,0.40626331487004685
0.41,0.3464084139914603,0.41245221190606224
0.42,0.350871029958665,0.4170383586083854
0.43,0.3577276332585118,0.4246857142857143
0.44,0.36228949601951965,0.4313404950957496
0.45,0.36529150420538625,0.4367322599880739
0.46,0.370608280462502,0.4423334551211789
0.47,0.37451971408547896,0.44855405237681517
0.48,0.3796387304388714,0.45430346051464066
0.49,0.3843831526714559,0.45937217413770837
0.5,0.3831584033698016,0.46326342171217516
0.51,0.3835737197172062,0.4671043816159721
0.52,0.3858039904647457,0.4708446866485014
0.53,0.3874674741715137,0.4731093598783354
0.54,0.38817251755469473,0.4772374911909796
0.55,0.3897453988127893,0.481651376146789
0.56,0.3932743368498084,0.4857142857142857
0.57,0.39296464557056227,0.4875018488389291
0.58,0.3915091895458544,0.48851523795225943
0.59,0.393890682766367,0.49177831912302067
0.6,0.392945572227731,0.4944375772558714
0.61,0.39324273728499565,0.49638932496075355
0.62,0.39269661409773443,0.4988807163415414
0.63,0.3898381653559939,0.5006493506493506
0.64,0.38463660543161066,0.5012357884330203
0.65,0.38337623280759126,0.5032625062740506
0.66,0.3785540646781959,0.5022041369955916
0.67,0.3782086493163066,0.5044765840220385
0.68,0.3745417307178276,0.5030589057857018
0.69,0.37355100217599985,0.5046001415428167
0.7,0.3746124715131198,0.5063654294423525
0.71,0.37433139554575995,0.5075167542111935
0.72,0.36846975967756807,0.5048686386184089
0.73,0.3650333429056866,0.5065031586770716
0.74,0.361689128463934,0.505175983436853
0.75,0.36236090542811766,0.5057034220532319
0.76,0.35574896300714004,0.5053970701619122
0.77,0.3503401644797908,0.5032207690806167
0.78,0.34463554619655423,0.5019762845849802
0.79,0.33616998266401954,0.4997001798920647
0.8,0.33073142862923516,0.4969647915823553
0.81,0.3268360153717082,0.49569495694956955
0.82,0.31931174259337525,0.4945077720207254
0.83,0.3138981089640795,0.4930817610062893
0.84,0.3086126867301565,0.49078975227609567
0.85,0.30095120428027017,0.4862542955326461
0.86,0.2977042869918886,0.4850065189048241
0.87,0.28921428696539064,0.4810238305383936
0.88,0.276689030926604,0.47116894772268336
0.89,0.26658541994456414,0.46395269501933145
0.9,0.25701820089842736,0.4575645756457565
