epoch,train_loss,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.7751872501950847,0.6902403751959247,0.06409802287817001,0.06583669036626816
2,0.7167805609343151,0.6649593149980407,0.07154246419668198,0.07445017248392105
3,0.6888505432756963,0.6494345121473354,0.07416746020317078,0.07770737260580063
4,0.6680173724565881,0.6281937063251045,0.0817512795329094,0.0889243632555008
5,0.6475233340823964,0.6103582974137931,0.09099050611257553,0.10214981436729431
6,0.6275109556253143,0.5972336545683125,0.09371054172515869,0.10682334750890732
7,0.6097813622915234,0.5806018308761103,0.10364862531423569,0.12203919887542725
8,0.5920809731490997,0.5602899890608672,0.11658874154090881,0.13978756964206696
9,0.5750241914631185,0.5473703529094828,0.12388760596513748,0.1499328315258026
10,0.5606055725730236,0.5323648017078109,0.13472358882427216,0.16493970155715942
11,0.5440054503125038,0.5224020427197623,0.13542526960372925,0.16537825763225555
12,0.5305362908271574,0.5067882522694619,0.1555372029542923,0.19192077219486237
13,0.5153236359128177,0.4936429046662748,0.1575034260749817,0.1969972848892212
14,0.5022114155627456,0.4802876063300026,0.1707671582698822,0.21303965151309967
15,0.49038745822983754,0.46822726354329935,0.19080308079719543,0.2358211874961853
16,0.47637080355986994,0.4571079208708856,0.18979664146900177,0.23724012076854706
17,0.4662857838850958,0.44448291678911966,0.21741057932376862,0.2635153830051422
18,0.4536990502315933,0.4343259116624216,0.22183838486671448,0.27049893140792847
19,0.4427042508391471,0.4282120360052573,0.21017663180828094,0.25719472765922546
20,0.4303942599731857,0.41370147545634145,0.23512481153011322,0.2884919047355652
21,0.41994040746906486,0.4046311920389237,0.2449941486120224,0.2992178499698639
22,0.4098014818175794,0.39635682236562825,0.2384190857410431,0.2921026945114136
23,0.4002650760716305,0.3849349136910593,0.2563968300819397,0.31265789270401
24,0.39007270693590557,0.3771019130216497,0.261152058839798,0.3163052201271057
25,0.3813757558710795,0.3696916506457354,0.2700869143009186,0.3267282545566559
26,0.3718082458811347,0.36142671240285396,0.2741231322288513,0.3308902084827423
27,0.36311148300493123,0.35319387469794933,0.29077672958374023,0.3478260934352875
28,0.35530827452815633,0.3454296568867555,0.29122310876846313,0.3462003469467163
29,0.34647998926291423,0.336865928275209,0.2971692383289337,0.3555370569229126
30,0.3384776555003208,0.3310699813667385,0.29341453313827515,0.3539438545703888
31,0.3309737551862415,0.32378201635155435,0.30896151065826416,0.3680906891822815
