epoch,train_loss,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.33678400449674134,0.0993751026819243,0.3389756679534912,0.40159085392951965
2,0.15672075658642098,0.07199629860362787,0.39023488759994507,0.4621185064315796
3,0.12298177845733388,0.06610916568194064,0.40318378806114197,0.47797226905822754
4,0.10232182513393213,0.060194667708537423,0.4180932641029358,0.495890736579895
5,0.08587387000865508,0.05659214095511282,0.42944571375846863,0.5074199438095093
6,0.07397253399891854,0.053259555095166375,0.42432576417922974,0.5129176378250122
7,0.06480228461765343,0.05199367096680708,0.4359138011932373,0.5212928652763367
8,0.05710114315122725,0.05007194080572019,0.4392714500427246,0.5327048897743225
9,0.04963620113033335,0.04865222990699696,0.430197536945343,0.5322484970092773
10,0.04508542931423171,0.048235001040850316,0.4319201707839966,0.5339585542678833
11,0.040193144408693385,0.04742446373248922,0.4371480941772461,0.5432984828948975
12,0.03639786550618754,0.04674059286884878,0.43526193499565125,0.5481695532798767
13,0.03296673379292297,0.047305155627530696,0.4277248680591583,0.5477083325386047
14,0.030097630388727068,0.04686405066287879,0.42356905341148376,0.5497646331787109
15,0.027678587305551106,0.04750311904317284,0.4255217909812927,0.5477277040481567
16,0.025547972042095142,0.04720626623777511,0.4221639633178711,0.552668035030365
17,0.02332790741302048,0.04748702604319733,0.43060460686683655,0.5536942481994629
18,0.021480060926502554,0.04892943411162405,0.4237540662288666,0.5564360618591309
19,0.019876755489527036,0.0489439741272164,0.4170290231704712,0.5484974384307861
20,0.018154722619474206,0.04968107058087611,0.4208732545375824,0.5552152991294861
