threshold,supported_macro_f1,micro_f1
0.1,0.4418982244547027,0.5116135026323939
0.11,0.4488030373389814,0.5202192738539764
0.12,0.45490958596121756,0.5265633871360207
0.13,0.4602892376497293,0.5324857591017914
0.14,0.46584496366228273,0.5377714429445796
0.15,0.47206018280521755,0.5442712793286522
0.16,0.4742996398875534,0.5490264255910987
0.17,0.4767750669629403,0.5532776066871975
0.18,0.47946786940621405,0.5564257742969028
0.19,0.4831203689916003,0.5602453102453103
0.2,0.48658110454101583,0.5648046732384081
0.21,0.49077462729921734,0.5690561859950181
0.22,0.4938195828042644,0.5725746268656716
0.23,0.4975029988711405,0.5758519777211366
0.24,0.49957085389597533,0.579132920438304
0.25,0.5034254520252169,0.58249060965039
0.26,0.5070989319506886,0.5864588407208962
0.27,0.5099985751352842,0.5886859163229229
0.28,0.5110618979279602,0.5903459213004262
0.29,0.5143345112588484,0.5935844908564005
0.3,0.5175531638380942,0.5960879209518047
0.31,0.5185008222257822,0.5975423987001118
0.32,0.5210132607348916,0.6001642036124795
0.33,0.5214292765296614,0.6015721969383533
0.34,0.5232399641253455,0.6036242449489689
0.35,0.5251087189848729,0.6052272488716279
0.36,0.5258019256118095,0.6065469904963041
0.37,0.5249303977423627,0.6076890399320307
0.38,0.5272504121410325,0.6098213330480368
0.39,0.5288917925396253,0.6118760757314974
0.4,0.5290161710775158,0.6130881557598703
0.41,0.5311538009820381,0.6145640579079134
0.42,0.5327487225715812,0.616480385711155
0.43,0.5339164398024344,0.6181697759134563
0.44,0.5349170065484943,0.618698645347546
0.45,0.5364687712492221,0.620203602192639
0.46,0.5371693491210988,0.6218468468468469
0.47,0.5400199102161846,0.6242486106385393
0.48,0.5401016207516225,0.6251855234615824
0.49,0.5412290785112597,0.6258175559380379
0.5,0.5416851601047374,0.626355873528733
0.51,0.541689644271489,0.6272642823966558
0.52,0.5425917304157273,0.6278770884449119
0.53,0.5440107933963856,0.6283767911674889
0.54,0.5442735160030132,0.6284566296383834
0.55,0.5452398825882462,0.6297750803284542
0.56,0.5437382395620927,0.6297271421732887
0.57,0.5430477013692577,0.6294245124006741
0.58,0.5427010371349665,0.6294907463408733
0.59,0.5441724175798031,0.6303871439006574
0.6,0.5450739029311117,0.6312178387650086
0.61,0.5420493430500081,0.629930966469428
0.62,0.5408968691412334,0.6296479920674268
0.63,0.5394365102509218,0.6287208867854029
0.64,0.5380625874193641,0.6282420749279538
0.65,0.5357937657761894,0.6272681451612903
0.66,0.5340423896129585,0.6263778031166858
0.67,0.5339949987718967,0.6262265834076718
0.68,0.5333367630183943,0.624887863642189
0.69,0.531731063278374,0.6234838709677419
0.7,0.5304143527007944,0.6230060951886915
0.71,0.5280745308320542,0.6219783091598066
0.72,0.5263224080524785,0.6208437376790642
0.73,0.5257820413244788,0.6200238063748181
0.74,0.5237977317874133,0.6198457036445862
0.75,0.5229204710886254,0.6177533806399785
0.76,0.5219926607651967,0.6174135378818464
0.77,0.5204229423342953,0.6153429847111351
0.78,0.5182984516762636,0.6127230622530991
0.79,0.518590759252873,0.6141386410432395
0.8,0.5183423389389406,0.6133664733499032
0.81,0.5153557703726982,0.6109101029780128
0.82,0.5130978855210051,0.6086347070367255
0.83,0.5124047203088449,0.6083392226148411
0.84,0.5090590898663789,0.6053268765133172
0.85,0.5024366246257369,0.6028419692837663
0.86,0.4986179377742198,0.5991891109180424
0.87,0.49404753110334526,0.5953216374269005
0.88,0.48809051396605296,0.5892778023925564
0.89,0.48540828343662146,0.586463923673226
0.9,0.4775256539190641,0.5788362978595115
