true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave,other
house,House,0.6978021978021978,0.07280219780219781,0.024725274725274724,0.046703296703296704,0.005494505494505495,0.006868131868131868,0.02197802197802198,0.0027472527472527475,0.009615384615384616,0.008241758241758242,0.0013736263736263737,0.01098901098901099,0.012362637362637362,0.0013736263736263737,0.004120879120879121,0.013736263736263736,0.008241758241758242,0.024725274725274724,0.013736263736263736,0.012362637362637362
techno,Techno,0.12121212121212122,0.6498316498316499,0.02356902356902357,0.08080808080808081,0.020202020202020204,0.0,0.016835016835016835,0.0,0.006734006734006734,0.003367003367003367,0.003367003367003367,0.006734006734006734,0.006734006734006734,0.03367003367003367,0.013468013468013467,0.0,0.003367003367003367,0.003367003367003367,0.006734006734006734,0.0
electro,Electro,0.19318181818181818,0.07386363636363637,0.4431818181818182,0.011363636363636364,0.005681818181818182,0.022727272727272728,0.03977272727272727,0.0,0.056818181818181816,0.011363636363636364,0.0,0.011363636363636364,0.011363636363636364,0.005681818181818182,0.0,0.022727272727272728,0.03977272727272727,0.028409090909090908,0.017045454545454544,0.005681818181818182
trance,Trance,0.04772727272727273,0.04772727272727273,0.011363636363636364,0.8068181818181818,0.013636363636363636,0.0,0.00909090909090909,0.0,0.00909090909090909,0.0,0.0022727272727272726,0.025,0.0022727272727272726,0.011363636363636364,0.0,0.004545454545454545,0.0,0.0022727272727272726,0.006818181818181818,0.0
drum_and_bass,Drum & Bass,0.012269938650306749,0.00408997955010225,0.0,0.00408997955010225,0.8343558282208589,0.002044989775051125,0.05930470347648262,0.002044989775051125,0.00408997955010225,0.00408997955010225,0.006134969325153374,0.012269938650306749,0.006134969325153374,0.028629856850715747,0.0,0.006134969325153374,0.00408997955010225,0.002044989775051125,0.0,0.0081799591002045
footwork,Footwork,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.4090909090909091,0.18181818181818182,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
dubstep,Dubstep,0.04391891891891892,0.02702702702702703,0.02364864864864865,0.006756756756756757,0.037162162162162164,0.010135135135135136,0.6621621621621622,0.0033783783783783786,0.09121621621621621,0.0033783783783783786,0.0033783783783783786,0.013513513513513514,0.02027027027027027,0.010135135135135136,0.0033783783783783786,0.006756756756756757,0.006756756756756757,0.0033783783783783786,0.02364864864864865,0.0
future_bass,Future Bass,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,0.3148148148148148,0.14814814814814814,0.2037037037037037,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0,0.0,0.0
trap_edm,Trap (EDM),0.041379310344827586,0.0,0.041379310344827586,0.006896551724137931,0.034482758620689655,0.0,0.20689655172413793,0.006896551724137931,0.5310344827586206,0.013793103448275862,0.027586206896551724,0.013793103448275862,0.0,0.027586206896551724,0.0,0.0,0.006896551724137931,0.0,0.027586206896551724,0.013793103448275862
phonk,Phonk,0.21568627450980393,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.09803921568627451,0.5686274509803921,0.0784313725490196,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0
