epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,1.5083551440683058,1.3966702681321363,0.6029858299595142,0.5093031919416898,0.5361086230965156,0.5969318248845908
2,1.0975859443966391,1.337859385409336,0.6080465587044535,0.5292401703337373,0.555596508199214,0.6063625137476107
3,0.9201876817374347,1.3828529249801327,0.6090587044534413,0.5228629268704101,0.5498337826706072,0.6036657173201831
4,0.7684126138130425,1.402054010615175,0.6169028340080972,0.5217536754843661,0.5482260087875958,0.6069744688552686
5,0.6344739383186514,1.5010096901341488,0.6034919028340081,0.5210148813280597,0.5462345590724786,0.5987778010220365
6,0.5240181750406283,1.5233480708319167,0.6067813765182186,0.530832816704309,0.5578755293416018,0.6029275136501276
7,0.42761153334594004,1.5852415802990376,0.6032388663967612,0.5193940368665931,0.5456726439378579,0.5943809108697192
8,0.3534116425412543,1.6279409424013453,0.6024797570850202,0.5209622421202877,0.5470259878654937,0.5980619956199823
9,0.2879221357352009,1.692788598991116,0.6191801619433198,0.5297491076001974,0.5565167437284173,0.606750739646443
10,0.24148506784042037,1.8135584626603223,0.604504048582996,0.5099497214431328,0.5358493308423954,0.5912817458530703
11,0.2067169209103383,1.8722389159414932,0.6105769230769231,0.5179785999886554,0.5441719700655362,0.5958281933399336
12,0.17249029833704946,1.9613345489810836,0.6158906882591093,0.5257268368877676,0.5528397224828074,0.6007107917970015
13,0.14614569524782156,2.03177282202099,0.6141194331983806,0.5270446736719439,0.5542269190977297,0.5974781680478053
14,0.1282379948300605,2.060821938611235,0.604251012145749,0.5202597982331916,0.5471102607664643,0.5903498528305469
15,0.11639004350378183,2.1334912960345926,0.6115890688259109,0.5281734478191977,0.555468398862817,0.6006535876061279
16,0.0960923882478848,2.1711105817725302,0.604504048582996,0.5218886970991476,0.5483345508555155,0.5943018721371778
17,0.08763197661286483,2.2557611349623214,0.6004554655870445,0.520794199896428,0.5467690142450438,0.5893602069529296
18,0.07371788219776812,2.2962004009046053,0.6138663967611336,0.5325654792386361,0.559553031819721,0.5990616730033391
19,0.10700815799204996,2.4261552602173344,0.5994433198380567,0.5167901391753258,0.5429263559633944,0.5851592804117384
20,0.1172914125996231,2.467652618161097,0.5926113360323887,0.501157109866984,0.5261548065251177,0.5784219954963441
21,0.09272611541602147,2.4807780339167667,0.6133603238866396,0.5310753137074846,0.5575010929949112,0.6012511753839391
22,0.07579201103210008,2.6119312796032865,0.6024797570850202,0.5140302341123685,0.5405245465460542,0.5852249050820798
23,0.07090300234724471,2.637718536593171,0.6075404858299596,0.5161936580252526,0.5424048074906966,0.5916477831673469
24,0.0689092888956774,2.6538926715310285,0.6029858299595142,0.521963811250499,0.5483504035952078,0.5895828986798187
25,0.06652368590628295,2.7525524340177836,0.6052631578947368,0.5254492745023057,0.5517072009199865,0.5948782050673851
26,0.07049460060082403,2.718105157859895,0.6090587044534413,0.5317343929818918,0.5571654826482868,0.5984642171908905
27,0.07125232497052754,2.892025916682564,0.5959008097165992,0.5113117125438467,0.5371541938078428,0.5817737649481101
28,0.0743328057710731,2.8904677093752964,0.6060222672064778,0.5095779036574984,0.5353126061288914,0.5874253978028517
29,0.08591134502862727,3.0616089129737514,0.597165991902834,0.5023682555574684,0.5282770579499135,0.5814081969825423
30,0.08692601362386247,3.070881399548488,0.604757085020243,0.5086945394047782,0.53489272770247,0.5908392731360327
