threshold,supported_macro_f1,micro_f1
0.1,0.0790221496359058,0.10389100948989907
0.11,0.08898984110344137,0.11588645502825051
0.12,0.09882362448520897,0.12773118777713696
0.13,0.1089269550204684,0.13975803087192323
0.14,0.11919745821220377,0.15171910291802604
0.15,0.12880050149059594,0.16300475059382422
0.16,0.13800829301231263,0.1739211532568581
0.17,0.1473964665011936,0.185061730161228
0.18,0.15675542535301895,0.195953369140625
0.19,0.16625520665479002,0.20690661478599223
0.2,0.17426346180704208,0.21636986301369862
0.21,0.18304757156001425,0.22664785471384125
0.22,0.19105274498205346,0.23610476625552007
0.23,0.19894187155634768,0.24530219397006953
0.24,0.20527572166721694,0.2533225182504524
0.25,0.2129348187709976,0.26218903312638386
0.26,0.21969517795211485,0.27027515066699775
0.27,0.22587946310804508,0.277901445743609
0.28,0.23199862136150445,0.28591559561699753
0.29,0.23819254416000143,0.29385292269013197
0.3,0.24382856750028128,0.3013634471273938
0.31,0.25008071259885134,0.3094181260592365
0.32,0.25583811891403757,0.3163002190367926
0.33,0.26162151854171734,0.3229455282927247
0.34,0.26685402537748215,0.3296774193548387
0.35,0.2720748452407216,0.33610508556278623
0.36,0.27635003669614816,0.3425366428062347
0.37,0.2805172557950421,0.34823589351674944
0.38,0.28581828383405844,0.35501487949246213
0.39,0.28928868867789875,0.3614029199530122
0.4,0.29427970018162325,0.36816228296372705
0.41,0.2981180219929554,0.37350033423635787
0.42,0.3028281109936115,0.3792359162529678
0.43,0.30715483269457494,0.3848728985027407
0.44,0.31060805049743734,0.39033010000751933
0.45,0.3148232204652474,0.39585333077366097
0.46,0.3173401835381527,0.40020358625009783
0.47,0.31994583757827166,0.40468668772743627
0.48,0.3239106420878044,0.41038621703274275
0.49,0.3272177902027816,0.4158118588941706
0.5,0.3299792976969828,0.4203496533242588
0.51,0.3320184610394194,0.4246177833600416
0.52,0.33396445860524365,0.42893692104102343
0.53,0.3363904100555415,0.43386386116356446
0.54,0.3383329006039132,0.4374399560821629
0.55,0.3392975121808655,0.4408106219426975
0.56,0.3402538550137053,0.4440861234942616
0.57,0.3420423402508917,0.44825923425595526
0.58,0.3439179114087169,0.4522524290901953
0.59,0.34603699999157445,0.45643401584217613
0.6,0.3478681460060929,0.4608607594936709
0.61,0.3481786082278743,0.46398435892158874
0.62,0.3481021135163083,0.4664369975989143
0.63,0.3473584287662483,0.46938450935694215
0.64,0.34914232537539824,0.47310552980489384
0.65,0.3508101781349717,0.4761800339893646
0.66,0.3497077276677252,0.47842307478144663
0.67,0.34859722394516757,0.4807833814456331
0.68,0.34896234280214355,0.48385061098043713
0.69,0.35041674846058907,0.48729603729603727
0.7,0.3493624615576474,0.487182516243355
0.71,0.34881723481394505,0.4901584253480557
0.72,0.3477489007748562,0.49205092282390206
0.73,0.34574186040992455,0.49343246592317225
0.74,0.34331214624086576,0.4935309634468032
0.75,0.3419543533249224,0.49572212999616905
0.76,0.33896328333193265,0.496757457846952
0.77,0.33687630673724744,0.49694420713675497
0.78,0.3341674405170191,0.49643214404801594
0.79,0.3302237923852386,0.4948146139768183
0.8,0.32694151110630865,0.49507541841724634
0.81,0.32382154943748964,0.49498702937670896
0.82,0.31835249348753214,0.49347686604405794
0.83,0.31371491827224945,0.4926779759315644
0.84,0.3093090317349854,0.49223065026879737
0.85,0.30467938301674596,0.48922800718132853
0.86,0.29754161684666225,0.48505641964013424
0.87,0.2934504214962857,0.4832360949047063
0.88,0.28841344450126993,0.48041155520379897
0.89,0.28404762141529266,0.4767582373318295
0.9,0.2761657291484665,0.46955522731002786
