true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,0.592032967032967,0.057692307692307696,0.019230769230769232,0.03571428571428571,0.009615384615384616,0.005494505494505495,0.024725274725274724,0.0027472527472527475,0.019230769230769232,0.01098901098901099,0.01098901098901099,0.020604395604395604,0.028846153846153848,0.006868131868131868,0.013736263736263736,0.04120879120879121,0.03571428571428571,0.046703296703296704,0.017857142857142856
techno,Techno,0.11784511784511785,0.531986531986532,0.013468013468013467,0.10774410774410774,0.013468013468013467,0.003367003367003367,0.02356902356902357,0.0,0.003367003367003367,0.010101010101010102,0.006734006734006734,0.02356902356902357,0.016835016835016835,0.07407407407407407,0.020202020202020204,0.0,0.010101010101010102,0.010101010101010102,0.013468013468013467
electro,Electro,0.09659090909090909,0.06818181818181818,0.26136363636363635,0.045454545454545456,0.0,0.017045454545454544,0.03977272727272727,0.045454545454545456,0.08522727272727272,0.017045454545454544,0.005681818181818182,0.06818181818181818,0.05113636363636364,0.03409090909090909,0.011363636363636364,0.028409090909090908,0.03977272727272727,0.056818181818181816,0.028409090909090908
trance,Trance,0.06363636363636363,0.04090909090909091,0.006818181818181818,0.7227272727272728,0.015909090909090907,0.0,0.01818181818181818,0.0022727272727272726,0.0022727272727272726,0.006818181818181818,0.0022727272727272726,0.038636363636363635,0.0,0.031818181818181815,0.006818181818181818,0.0022727272727272726,0.0,0.013636363636363636,0.025
drum_and_bass,Drum & Bass,0.010224948875255624,0.014314928425357873,0.006134969325153374,0.006134969325153374,0.7423312883435583,0.010224948875255624,0.08588957055214724,0.006134969325153374,0.018404907975460124,0.00408997955010225,0.006134969325153374,0.014314928425357873,0.0081799591002045,0.032719836400818,0.012269938650306749,0.006134969325153374,0.010224948875255624,0.0,0.006134969325153374
footwork,Footwork,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.4090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
dubstep,Dubstep,0.030405405405405407,0.010135135135135136,0.04054054054054054,0.013513513513513514,0.05067567567567568,0.0,0.5540540540540541,0.016891891891891893,0.09121621621621621,0.016891891891891893,0.016891891891891893,0.016891891891891893,0.013513513513513514,0.006756756756756757,0.037162162162162164,0.04391891891891892,0.02702702702702703,0.0033783783783783786,0.010135135135135136
future_bass,Future Bass,0.018518518518518517,0.0,0.018518518518518517,0.0,0.07407407407407407,0.0,0.3888888888888889,0.07407407407407407,0.2222222222222222,0.05555555555555555,0.0,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035
trap_edm,Trap (EDM),0.013793103448275862,0.006896551724137931,0.020689655172413793,0.013793103448275862,0.06206896551724138,0.006896551724137931,0.2413793103448276,0.013793103448275862,0.4482758620689655,0.041379310344827586,0.027586206896551724,0.034482758620689655,0.013793103448275862,0.006896551724137931,0.006896551724137931,0.020689655172413793,0.013793103448275862,0.0,0.006896551724137931
phonk,Phonk,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0392156862745098,0.0,0.058823529411764705,0.7450980392156863,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0
