epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,validation_macro_f1_excluding_other,validation_weighted_f1
1,2.2434426804403054,2.017347442788422,0.42962962962962964,0.33485363122682427,0.33485363122682427,0.42596856587433396
2,1.8397711715789085,1.8844180031428261,0.4576719576719577,0.3713304954524058,0.3713304954524058,0.45925316452997345
3,1.709792865879504,1.8154142914625702,0.4793650793650794,0.3897658538180867,0.3897658538180867,0.4799809964376884
4,1.6321651589506447,1.7694251408652655,0.4933862433862434,0.41114459400478964,0.41114459400478964,0.4959936311280346
5,1.5738632766644167,1.735051674817605,0.49523809523809526,0.40782678376979214,0.40782678376979214,0.49644395353035004
6,1.5302667199031843,1.7043259777089275,0.508994708994709,0.42134167262007827,0.42134167262007827,0.5109648582799067
7,1.4926745355219448,1.6903742916369564,0.5087301587301587,0.4206782898939247,0.4206782898939247,0.5125006744991004
8,1.4618691005297573,1.6681534176781063,0.5153439153439153,0.4256180640237969,0.4256180640237969,0.5171785936366211
9,1.4312311483174496,1.668754278919684,0.5068783068783069,0.42239803181711144,0.42239803181711144,0.5103693186355167
10,1.411889396377719,1.6413510378075655,0.5187830687830688,0.43170571141032693,0.43170571141032693,0.5224590539203793
11,1.3896771648056858,1.6280501451441851,0.5235449735449735,0.43718276213221374,0.43718276213221374,0.526079229008953
12,1.3678064270434689,1.6369772209692253,0.5166666666666667,0.4283171985950545,0.4283171985950545,0.5181381224723139
13,1.355082074298806,1.610024039455192,0.5272486772486773,0.4374911892966237,0.4374911892966237,0.5295249571664183
14,1.33530064745789,1.6106009670035548,0.5280423280423281,0.43407685995654666,0.43407685995654666,0.5278266366783062
15,1.322657488984925,1.6094815128064028,0.5261904761904762,0.4373838059019048,0.4373838059019048,0.5269614353076961
16,1.306466211366768,1.6118605739855894,0.523015873015873,0.43744341963974726,0.43744341963974726,0.5236856624558648
17,1.2926760958742292,1.5897219037252759,0.5322751322751322,0.44225483598073956,0.44225483598073956,0.5322475546916828
18,1.280184296639214,1.5889059541086672,0.5380952380952381,0.451558579668436,0.451558579668436,0.5416653349818044
19,1.2678776862603691,1.5860137515597874,0.5431216931216931,0.4533810885758804,0.4533810885758804,0.5428892161624558
20,1.2579442484873566,1.5887779235839843,0.5232804232804232,0.43575126270350345,0.43575126270350345,0.5252405537582975
21,1.245427292834234,1.5853049586058925,0.5246031746031746,0.4381536590697894,0.4381536590697894,0.5279504150767026
22,1.2372951807899784,1.5644758113477595,0.5417989417989418,0.45027472804144564,0.45027472804144564,0.5435434188401489
23,1.2257770296621648,1.5952316566749856,0.5224867724867724,0.4389028031508671,0.4389028031508671,0.5268642847654837
24,1.2186965334079023,1.5690122836481326,0.53994708994709,0.4532878402303294,0.4532878402303294,0.5404472428968646
25,1.2106781510479843,1.5690516759478856,0.5328042328042328,0.4455966042489415,0.4455966042489415,0.5335391899183034
26,1.2002843124172646,1.572263521870608,0.5285714285714286,0.43988281425691167,0.43988281425691167,0.5307583126229184
27,1.1949579946761095,1.5694971235971602,0.5301587301587302,0.4452045915071549,0.4452045915071549,0.5318075753019565
28,1.1859039208199837,1.5538333489150598,0.5402116402116403,0.45175907418463146,0.45175907418463146,0.5385450349281314
29,1.1790610709746885,1.5572592477949838,0.5362433862433862,0.4487143911497492,0.4487143911497492,0.5390799219277285
30,1.1726156026483123,1.5835205925835503,0.530952380952381,0.44201087757010527,0.44201087757010527,0.5325171820945884
31,1.164761813593433,1.5634328488950375,0.5317460317460317,0.44553077390578405,0.44553077390578405,0.53472458769669
