epoch,train_loss,train_bce,train_hierarchy_penalty,validation_loss,validation_macro_f1_at_0_5,validation_micro_f1_at_0_5
1,0.2650525958927462,0.2650525958927462,0.0,0.08857932463854182,0.36880525946617126,0.4227530062198639
2,0.16719407625923113,0.16719407625923113,0.0,0.08179537893176789,0.38108476996421814,0.433498352766037
3,0.14087426120880228,0.14087426120880228,0.0,0.07656162230903417,0.38896989822387695,0.44716206192970276
4,0.12244163936853576,0.12244163936853576,0.0,0.07105212561830536,0.398017019033432,0.4601300358772278
5,0.10686117850855396,0.10686117850855396,0.0,0.066403869512052,0.4072359800338745,0.4722248315811157
6,0.09399950668200656,0.09399950668200656,0.0,0.06458253876725684,0.4151398241519928,0.4792229235172272
7,0.0831265567021666,0.0831265567021666,0.0,0.06095435693140562,0.4184289276599884,0.4921075701713562
8,0.07439708843656558,0.07439708843656558,0.0,0.05933934635668695,0.42006662487983704,0.496338427066803
9,0.06705530429052692,0.06705530429052692,0.0,0.05831823234030817,0.425716757774353,0.5030836462974548
10,0.061836553395124234,0.061836553395124234,0.0,0.05817501885693679,0.4267480969429016,0.5045508146286011
11,0.05661476035909735,0.05661476035909735,0.0,0.05711907636800522,0.424410343170166,0.510829746723175
12,0.05343138154656761,0.05343138154656761,0.0,0.05751076885081414,0.43146616220474243,0.5145242214202881
13,0.04967125484104893,0.04967125484104893,0.0,0.05762411117834611,0.4262230694293976,0.513935387134552
14,0.046011173491386746,0.046011173491386746,0.0,0.05704436297269315,0.4246669411659241,0.520430862903595
15,0.043213233415571234,0.043213233415571234,0.0,0.056641248051436166,0.42626476287841797,0.5236698389053345
16,0.04028297560100088,0.04028297560100088,0.0,0.05710636686349271,0.4300857186317444,0.5258548259735107
17,0.03781089775666605,0.03781089775666605,0.0,0.055924517904063595,0.4305934011936188,0.5275521278381348
18,0.03556163671846597,0.03556163671846597,0.0,0.056733136452846236,0.4228316843509674,0.5283856987953186
19,0.033007852644016226,0.033007852644016226,0.0,0.05760638400382777,0.4262630045413971,0.5310414433479309
20,0.032529830536952055,0.032529830536952055,0.0,0.05812692537275837,0.4306475520133972,0.5344321131706238
21,0.03068948983461034,0.03068948983461034,0.0,0.0585888611264885,0.4232638478279114,0.5328200459480286
22,0.030018838740078834,0.030018838740078834,0.0,0.06069088180813903,0.4139164984226227,0.528339147567749
23,0.02820460286043973,0.02820460286043973,0.0,0.0600663112667588,0.4252944588661194,0.5379520058631897
24,0.02677816001200963,0.02677816001200963,0.0,0.06076445735127141,0.4222490191459656,0.5349133014678955
