fraction,train_samples,runs,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std
0.25,2855,3,0.5433527137308204,0.003041109109426909,0.6464399907890368,0.00204107058333816
0.5,5681,3,0.5581072217366041,0.008676361387733693,0.6517431299112498,0.010136512484333816
0.75,8506,3,0.571175587829045,0.004046202541020234,0.6537705945512394,0.0044965431895207025
1.0,11349,3,0.5672159072726144,0.0059011956617145405,0.6512162924069875,0.005178431634426753
